locationid,year,month,temperature,latitude,longitude,elevation,station,countryid,country,latabs
BR000082400,2023,1,27.24,-3.85,-32.417,59.0,FERNANDO_DE_NORONHA,BR,Brazil,3.85
BR000082704,2023,1,26.78,-7.633,-72.667,194.0,CRUZEIRO_DO_SUL,BR,Brazil,7.633
BR000083361,2023,1,28.5,-15.55,-56.117,151.0,CUIABA,BR,Brazil,15.55
BR000254000,2023,1,26.55,-2.433,-54.717,60.0,SANTAREM_AEROPORTO,BR,Brazil,2.433
BR000352000,2023,1,26.15,-3.2,-52.2,112.0,ALTAMIRA,BR,Brazil,3.2
BR000956000,2023,1,,-9.867,-56.1,289.0,ALTA_FLORESTA_AERO,BR,Brazil,9.867
BR001848001,2023,1,22.5,-18.883,-48.217,943.0,UBERLANDIA,BR,Brazil,18.883
BR001943012,2023,1,23.21,-19.65,-43.883,837.0,LAGOA_SANTA_AIRPORT,BR,Brazil,19.65
BR001946002,2023,1,17.0,-19.567,-46.933,1004.0,ARAXA,BR,Brazil,19.567
BR001957002,2023,1,29.14,-19.083,-57.5,141.0,CORUMBA,BR,Brazil,19.083
BR002047016,2023,1,22.65,-20.55,-47.433,1026.0,FRANCA,BR,Brazil,20.55
BR002244032,2023,1,16.3,-22.483,-44.467,440.0,RESENDE,BR,Brazil,22.483
BR002245032,2023,1,25.23,-22.783,-45.2,537.0,GUARATINGUETA,BR,Brazil,22.783
BR002351003,2023,1,25.3,-23.333,-51.133,569.0,LONDRINA_AEROPORTO,BR,Brazil,23.333
BR002549075,2023,1,21.81,-25.417,-49.267,932.0,CURITIBA,BR,Brazil,25.417
BR002554002,2023,1,26.15,-25.733,-54.467,279.0,IGUAZU_AERO,BR,Brazil,25.733
BR002752004,2023,1,24.9,-27.117,-52.617,679.0,CHAPECO,BR,Brazil,27.117
BR002957005,2023,1,30.5,-29.783,-57.033,78.0,URUGUAIANA_AEROPOR,BR,Brazil,29.783
BR00C4-0630,2023,1,24.16,-21.983,-47.333,600.0,PIRASSUNUNGA,BR,Brazil,21.983
BR00D4-0750,2023,1,23.05,-22.017,-47.883,856.0,SAO_CARLOS,BR,Brazil,22.017
BR00D6-0010,2023,1,25.46,-22.317,-49.117,617.0,BAURU,BR,Brazil,22.317
BR00D8-0390,2023,1,24.83,-22.117,-51.383,450.0,PRESIDENTE_PRUDENTE,BR,Brazil,22.117
BR00E2-0220,2023,1,23.85,-23.017,-45.567,577.0,TAUBATE,BR,Brazil,23.017
BR00E2-0320,2023,1,23.75,-23.217,-45.85,646.0,SAO_JOSE_DOS_CAMPOS,BR,Brazil,23.217
BR00E3-0070,2023,1,23.6,-23.5,-46.617,792.0,SAO_PAULO,BR,Brazil,23.5
BR00E3-0520,2023,1,23.5,-23.617,-46.65,802.0,SAO_PAULO_AEROPORT,BR,Brazil,23.617
