iso_code,casedate,location,continent,new_cases,new_deaths,population,pop_density,median_age,gdp_per_capita,hosp_beds,total_vaccinations_per_hundred,aged_65_older,life_expectancy,human_development_index,region
AFG,2020-03-01,Afghanistan,Asia,1.0,0.0,41128772,54.422,18.6,1803.987,0.5,,2.581,64.83,0.511,South Asia
AFG,2020-03-15,Afghanistan,Asia,6.0,0.0,41128772,54.422,18.6,1803.987,0.5,,2.581,64.83,0.511,South Asia
AFG,2020-03-22,Afghanistan,Asia,17.0,0.0,41128772,54.422,18.6,1803.987,0.5,,2.581,64.83,0.511,South Asia
AFG,2020-03-29,Afghanistan,Asia,67.0,2.0,41128772,54.422,18.6,1803.987,0.5,,2.581,64.83,0.511,South Asia
AFG,2020-04-05,Afghanistan,Asia,183.0,3.0,41128772,54.422,18.6,1803.987,0.5,,2.581,64.83,0.511,South Asia
AFG,2020-04-12,Afghanistan,Asia,247.0,10.0,41128772,54.422,18.6,1803.987,0.5,,2.581,64.83,0.511,South Asia
AFG,2020-04-19,Afghanistan,Asia,387.0,15.0,41128772,54.422,18.6,1803.987,0.5,,2.581,64.83,0.511,South Asia
AFG,2020-04-26,Afghanistan,Asia,422.0,13.0,41128772,54.422,18.6,1803.987,0.5,,2.581,64.83,0.511,South Asia
AFG,2020-05-03,Afghanistan,Asia,841.0,21.0,41128772,54.422,18.6,1803.987,0.5,,2.581,64.83,0.511,South Asia
AFG,2020-05-10,Afghanistan,Asia,1392.0,41.0,41128772,54.422,18.6,1803.987,0.5,,2.581,64.83,0.511,South Asia
AFG,2020-05-17,Afghanistan,Asia,2490.0,48.0,41128772,54.422,18.6,1803.987,0.5,,2.581,64.83,0.511,South Asia
AFG,2020-05-24,Afghanistan,Asia,3813.0,58.0,41128772,54.422,18.6,1803.987,0.5,,2.581,64.83,0.511,South Asia
AFG,2020-05-31,Afghanistan,Asia,4577.0,37.0,41128772,54.422,18.6,1803.987,0.5,,2.581,64.83,0.511,South Asia
AFG,2020-06-07,Afghanistan,Asia,5108.0,79.0,41128772,54.422,18.6,1803.987,0.5,,2.581,64.83,0.511,South Asia
AFG,2020-06-14,Afghanistan,Asia,4551.0,124.0,41128772,54.422,18.6,1803.987,0.5,,2.581,64.83,0.511,South Asia
AFG,2020-06-21,Afghanistan,Asia,4195.0,97.0,41128772,54.422,18.6,1803.987,0.5,,2.581,64.83,0.511,South Asia
AFG,2020-06-28,Afghanistan,Asia,2319.0,155.0,41128772,54.422,18.6,1803.987,0.5,,2.581,64.83,0.511,South Asia
AFG,2020-07-05,Afghanistan,Asia,2056.0,123.0,41128772,54.422,18.6,1803.987,0.5,,2.581,64.83,0.511,South Asia
AFG,2020-07-12,Afghanistan,Asia,1679.0,149.0,41128772,54.422,18.6,1803.987,0.5,,2.581,64.83,0.511,South Asia
AFG,2020-07-19,Afghanistan,Asia,938.0,172.0,41128772,54.422,18.6,1803.987,0.5,,2.581,64.83,0.511,South Asia
AFG,2020-07-26,Afghanistan,Asia,747.0,99.0,41128772,54.422,18.6,1803.987,0.5,,2.581,64.83,0.511,South Asia
AFG,2020-08-02,Afghanistan,Asia,674.0,37.0,41128772,54.422,18.6,1803.987,0.5,,2.581,64.83,0.511,South Asia
AFG,2020-08-09,Afghanistan,Asia,305.0,24.0,41128772,54.422,18.6,1803.987,0.5,,2.581,64.83,0.511,South Asia
AFG,2020-08-16,Afghanistan,Asia,536.0,63.0,41128772,54.422,18.6,1803.987,0.5,,2.581,64.83,0.511,South Asia
AFG,2020-08-23,Afghanistan,Asia,343.0,15.0,41128772,54.422,18.6,1803.987,0.5,,2.581,64.83,0.511,South Asia
AFG,2020-08-30,Afghanistan,Asia,249.0,17.0,41128772,54.422,18.6,1803.987,0.5,,2.581,64.83,0.511,South Asia
AFG,2020-09-06,Afghanistan,Asia,161.0,7.0,41128772,54.422,18.6,1803.987,0.5,,2.581,64.83,0.511,South Asia
AFG,2020-09-13,Afghanistan,Asia,337.0,11.0,41128772,54.422,18.6,1803.987,0.5,,2.581,64.83,0.511,South Asia
AFG,2020-09-20,Afghanistan,Asia,278.0,17.0,41128772,54.422,18.6,1803.987,0.5,,2.581,64.83,0.511,South Asia
AFG,2020-09-27,Afghanistan,Asia,273.0,16.0,41128772,54.422,18.6,1803.987,0.5,,2.581,64.83,0.511,South Asia
AFG,2020-10-04,Afghanistan,Asia,105.0,9.0,41128772,54.422,18.6,1803.987,0.5,,2.581,64.83,0.511,South Asia
AFG,2020-10-11,Afghanistan,Asia,406.0,11.0,41128772,54.422,18.6,1803.987,0.5,,2.581,64.83,0.511,South Asia
AFG,2020-10-18,Afghanistan,Asia,438.0,15.0,41128772,54.422,18.6,1803.987,0.5,,2.581,64.83,0.511,South Asia
AFG,2020-10-25,Afghanistan,Asia,627.0,23.0,41128772,54.422,18.6,1803.987,0.5,,2.581,64.83,0.511,South Asia
AFG,2020-11-01,Afghanistan,Asia,657.0,25.0,41128772,54.422,18.6,1803.987,0.5,,2.581,64.83,0.511,South Asia
AFG,2020-11-08,Afghanistan,Asia,608.0,20.0,41128772,54.422,18.6,1803.987,0.5,,2.581,64.83,0.511,South Asia
AFG,2020-11-15,Afghanistan,Asia,1002.0,49.0,41128772,54.422,18.6,1803.987,0.5,,2.581,64.83,0.511,South Asia
AFG,2020-11-22,Afghanistan,Asia,1468.0,70.0,41128772,54.422,18.6,1803.987,0.5,,2.581,64.83,0.511,South Asia
AFG,2020-11-29,Afghanistan,Asia,1463.0,77.0,41128772,54.422,18.6,1803.987,0.5,,2.581,64.83,0.511,South Asia
AFG,2020-12-06,Afghanistan,Asia,1675.0,113.0,41128772,54.422,18.6,1803.987,0.5,,2.581,64.83,0.511,South Asia
AFG,2020-12-13,Afghanistan,Asia,1311.0,95.0,41128772,54.422,18.6,1803.987,0.5,,2.581,64.83,0.511,South Asia
AFG,2020-12-20,Afghanistan,Asia,1584.0,94.0,41128772,54.422,18.6,1803.987,0.5,,2.581,64.83,0.511,South Asia
AFG,2020-12-27,Afghanistan,Asia,1312.0,104.0,41128772,54.422,18.6,1803.987,0.5,,2.581,64.83,0.511,South Asia
AFG,2021-01-03,Afghanistan,Asia,861.0,63.0,41128772,54.422,18.6,1803.987,0.5,,2.581,64.83,0.511,South Asia
AFG,2021-01-10,Afghanistan,Asia,780.0,56.0,41128772,54.422,18.6,1803.987,0.5,,2.581,64.83,0.511,South Asia
AFG,2021-01-17,Afghanistan,Asia,495.0,62.0,41128772,54.422,18.6,1803.987,0.5,,2.581,64.83,0.511,South Asia
AFG,2021-01-24,Afghanistan,Asia,611.0,39.0,41128772,54.422,18.6,1803.987,0.5,,2.581,64.83,0.511,South Asia
AFG,2021-01-31,Afghanistan,Asia,428.0,22.0,41128772,54.422,18.6,1803.987,0.5,,2.581,64.83,0.511,South Asia
AFG,2021-02-07,Afghanistan,Asia,312.0,10.0,41128772,54.422,18.6,1803.987,0.5,,2.581,64.83,0.511,South Asia
AFG,2021-02-14,Afghanistan,Asia,157.0,17.0,41128772,54.422,18.6,1803.987,0.5,,2.581,64.83,0.511,South Asia
AFG,2021-02-21,Afghanistan,Asia,112.0,5.0,41128772,54.422,18.6,1803.987,0.5,,2.581,64.83,0.511,South Asia
AFG,2021-02-28,Afghanistan,Asia,110.0,11.0,41128772,54.422,18.6,1803.987,0.5,0.02,2.581,64.83,0.511,South Asia
AFG,2021-03-07,Afghanistan,Asia,133.0,6.0,41128772,54.422,18.6,1803.987,0.5,,2.581,64.83,0.511,South Asia
AFG,2021-03-14,Afghanistan,Asia,138.0,8.0,41128772,54.422,18.6,1803.987,0.5,,2.581,64.83,0.511,South Asia
AFG,2021-03-21,Afghanistan,Asia,118.0,6.0,41128772,54.422,18.6,1803.987,0.5,,2.581,64.83,0.511,South Asia
AFG,2021-03-28,Afghanistan,Asia,191.0,7.0,41128772,54.422,18.6,1803.987,0.5,,2.581,64.83,0.511,South Asia
AFG,2021-04-04,Afghanistan,Asia,382.0,27.0,41128772,54.422,18.6,1803.987,0.5,,2.581,64.83,0.511,South Asia
AFG,2021-04-11,Afghanistan,Asia,484.0,24.0,41128772,54.422,18.6,1803.987,0.5,,2.581,64.83,0.511,South Asia
AFG,2021-04-18,Afghanistan,Asia,633.0,18.0,41128772,54.422,18.6,1803.987,0.5,,2.581,64.83,0.511,South Asia
AFG,2021-04-25,Afghanistan,Asia,1050.0,43.0,41128772,54.422,18.6,1803.987,0.5,,2.581,64.83,0.511,South Asia
AFG,2021-05-02,Afghanistan,Asia,1279.0,55.0,41128772,54.422,18.6,1803.987,0.5,,2.581,64.83,0.511,South Asia
AFG,2021-05-09,Afghanistan,Asia,1720.0,49.0,41128772,54.422,18.6,1803.987,0.5,,2.581,64.83,0.511,South Asia
AFG,2021-05-16,Afghanistan,Asia,1642.0,56.0,41128772,54.422,18.6,1803.987,0.5,,2.581,64.83,0.511,South Asia
