#NAME?,"Sorry, the query is too large to fit into the Excel cell. You will not be able to update your table with the .Stat Populator.",,,,,,,,,,,,,,,,,,,,,
Dataset: Metropolitan areas,,,,,,,,,,,,,,,,,,,,,,
Variables,,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",,,,,,,,,,,,,,,,,,,,
Unit,,US Dollar,,,,,,,,,,,,,,,,,,,,
Year,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Metropolitan areas,,,,,,,,,,,,,,,,,,,,,,
AUS: Australia,,37938,38958,39715,40911,41755,42375,43382,44122,44054,44093,44485,45590,45965,46339,46645,47238,47577,48125,48384,47652,47731
  AUS01: Greater Sydney,,..,41091,41781,42988,43232,42807,42953,43162,42641,43194,42881,43762,44668,44669,45934,47349,47582,47569,47171,45576,45152
  AUS02: Greater Melbourne,,..,40488,41136,42164,42810,42195,42298,43148,41720,42138,41728,42118,42153,41920,42865,43725,43394,43772,43237,42299,40848
  AUS03: Greater Brisbane,,..,35276,35676,37092,38655,40712,42088,42222,43703,41315,40653,42083,41763,41446,41733,42294,43547,44663,44328,42145,40741
  AUS04: Greater Perth,,..,43355,44849,46475,48692,52804,57511,59741,60342,60556,66816,69432,68537,71841,66268,62519,62433,62686,67313,70970,78489
  AUS05: Greater Adelaide,,..,36081,36928,37491,37422,37304,37548,38349,37866,38666,38668,38514,38922,38851,39392,39472,38984,39302,39055,38314,39181
  AUS06: Gold Coast,,..,36365,36271,37162,38399,40195,41236,40939,42227,39865,39174,40591,40187,39794,40032,40434,41421,42224,41679,39560,38061
  AUS07: Canberra,,..,43695,46051,47080,47825,48036,50152,50858,50173,53174,52677,54304,55943,54966,56532,58925,58739,59181,59393,60388,60516
  AUS08: Newcastle,,..,39771,40413,41494,41676,41329,41665,42107,41928,42762,42569,43460,44654,45033,46715,48699,49500,50111,50047,48640,48047
  AUS10: Wollongong,,..,38896,39517,40705,41063,40901,41345,41819,41523,42312,42053,43062,44337,44678,46294,48119,48764,49188,48980,47528,47071
  AUS14: Geelong,,..,39035,39506,40554,41334,40982,41386,42514,41383,42118,41740,42033,42272,42181,43297,44230,43872,44296,43678,42545,40719
AUT: Austria,,43878,44330,44823,45040,46032,46728,48032,49649,50223,48176,48963,50252,50396,50148,50148,50201,50520,51235,52223,52783,48995
  AT001: Vienna,,..,..,53322,52811,53608,53691,55005,56164,56759,54839,55340,56004,55517,54802,54233,53890,54318,54166,55141,55770,..
  AT002: Graz,,..,..,45563,46511,48084,48569,49196,50837,51162,48939,49257,50730,51224,50549,50634,50228,51160,52020,52320,53639,..
  AT003: Linz,,..,..,47222,48139,48729,49663,51047,52485,54550,51807,52690,54132,54022,54107,53814,54115,53864,54971,56392,56614,..
  AT004: Salzburg,,..,..,54744,55145,57509,57993,60147,62863,62704,59615,62258,64034,65187,63449,63183,64035,64401,65269,65694,66689,..
  AT005: Innsbruck,,..,..,49648,49980,50601,51964,53113,54303,54322,52282,52516,53774,54374,54267,53745,53957,53719,54154,54962,55891,..
  AT006: Klagenfurt,,..,..,40156,40506,41671,42621,43336,45564,45709,42950,44153,45894,45413,44805,45026,44600,44286,45687,47135,47530,..
BEL: Belgium,,40240,40586,41093,41335,42644,43427,44258,45568,45418,44144,45045,45139,45164,45118,45655,46353,46633,47219,47886,48653,45646
  BE001: Brussels,,51132,53642,53931,54581,56392,57153,57892,59107,58636,57487,58527,57841,58084,57892,58495,59455,59547,60132,61046,62500,58750
  BE002: Antwerp,,49898,49773,50600,50549,52367,54867,55402,56982,57276,52973,54526,55138,55063,54401,54833,56452,56726,57444,57552,57595,54358
  BE003: Gent,,41122,41079,42214,42715,45144,45275,46947,48318,47764,47109,48373,48680,48743,49493,50018,51377,52064,53142,53187,53311,49777
  BE004: Charleroi,,2686,27114,26915,27306,28713,28812,29506,30661,31262,29262,30081,30668,29820,29372,30193,30108,29830,29862,30791,29863,27777
  BE005: Liege,,30283,30226,30352,30653,31648,32457,32987,33773,34207,33413,33825,34229,33692,33564,33916,33900,34124,34709,35151,35607,33163
  BE007: Namur,,29112,29294,29756,30047,30862,31412,32174,32593,33357,32595,33700,33690,33363,33080,33508,33443,33707,34064,34525,34516,32386
BGR: Bulgaria,,9640,10060,11030,11702,12561,13546,14580,15658,16736,16299,16651,17122,17351,17354,17616,18330,19015,19683,20360,21333,20540
  BG001: Sofia,,15191,16761,19123,20065,21744,23746,27339,30985,33533,32854,34277,34813,34265,34150,34293,36063,37237,38287,39768,43563,41687
  BG002: Plovdiv,,7979,8504,8895,9737,10591,11598,11984,12460,12606,13329,13428,13879,14133,14431,13983,15061,16111,16577,17177,18008,17431
  BG003: Varna,,11207,11785,11651,12291,13307,14072,15891,17040,18253,17030,16297,17286,17734,17378,18470,18768,18638,19168,20236,20343,18608
  BG004: Burgas,,12108,9620,10013,11121,12059,14246,14698,14903,15756,14831,14935,15221,15084,15241,13918,15508,16532,17066,16443,16732,13317
CAN: Canada,,39190,39348,40053,40435,41269,42206,42798,43337,43300,41460,42200,43097,43316,43897,44729,44670,44520,45531,46319,46531,43817
  CAN01: Toronto,,..,45535,46277,45402,45229,45059,44766,44547,42683,42220,42585,42517,42633,42340,42927,44919,45657,45981,46505,46648,44561
  CAN02: Montreal,,..,35297,36074,35974,36195,35890,35881,36305,35506,35828,35838,36084,36229,36386,36547,37750,38208,38751,39525,40139,38730
  CAN03: Vancouver,,..,38408,38866,39422,40983,42295,43633,43964,42835,41131,40936,41363,40896,40928,41599,42510,43664,45137,46246,46809,45902
  CAN04: Ottawa,,..,42579,43660,43097,43287,43349,43519,43508,41804,41445,41619,41553,41772,41696,42238,44053,44632,44919,45504,45772,43692
  CAN05: Calgary,,..,57186,54584,58514,61863,67328,69031,69064,73252,60380,63331,66809,66876,69780,73121,62213,56896,60047,60826,59689,49035
  CAN06: Edmonton,,..,54496,52423,56519,60195,66087,68126,68237,72676,59986,62921,66402,66814,69913,73197,62254,56804,59708,60413,59356,48825
  CAN07: Quebec,,..,35517,36431,36436,36779,36536,36566,36917,35991,36274,36218,36377,36583,36770,36929,38071,38538,39299,40428,41296,39814
  CAN08: Winnipeg,,..,33437,34176,33741,34476,34977,36631,37701,37832,37296,37643,37960,39268,39781,39746,40621,40302,41023,41062,40228,39282
  CAN09: Hamilton,,..,39024,40195,39753,40019,40326,40732,41072,39775,39740,40478,40780,41238,41234,42022,44058,44955,45329,46057,46445,44469
  CAN10: London,,..,40480,41693,41278,41419,41602,41713,41909,40518,40540,41301,41621,42090,42181,43007,45052,45712,45776,46113,46309,44175
  CAN11: Kitchener,,..,43732,44711,43967,43730,43556,43277,43293,41682,41509,42107,42182,42498,42385,43120,45090,45509,45552,45770,45696,43418
  CAN12: Halifax,,..,33689,34408,35153,35017,35253,34699,34749,34589,34540,34968,34315,33852,33919,34157,35122,35106,35211,35422,35492,35001
  CAN13: Victoria,,..,33465,34022,34550,35968,37212,38431,38996,38323,37164,37319,38126,37707,37706,38480,39273,40060,41334,42375,42977,42043
  CAN14: Windsor,,..,35962,36762,36269,36409,36638,37004,37456,36720,37244,38186,38675,39145,38968,39776,41804,42570,43145,43761,44242,42419
  CAN15: Saskatoon,,..,40522,41265,42504,45060,46943,46576,50378,61206,54158,54040,60235,59990,61436,58800,56020,51310,51966,52345,50311,46063
  CAN16: Sherbrooke,,..,35636,36461,36331,36574,36296,36382,36870,36148,36547,36588,36811,37018,37241,37449,38703,39090,39813,40842,41608,39921
CHE: Switzerland,,56190,56638,56330,55872,57052,58284,60214,62297,65096,62846,64200,64731,64823,65311,66083,66379,67009,67323,68760,69101,..
  CH001: Zurich,,..,..,..,..,..,..,..,..,78009,75682,76287,76985,76941,77262,78467,78467,78375,79238,81846,80431,..
  CH002: Geneva,,..,..,..,..,..,..,..,..,81867,78990,81198,80558,80118,80638,80794,79306,79732,81430,83391,83747,..
  CH003: Basel,,..,..,..,..,..,..,..,..,82852,80947,82212,83725,83519,83920,85651,86856,90151,94140,94821,94826,..
  CH004: Bern,,..,..,..,..,..,..,..,..,59746,58581,60423,61315,60875,61296,62207,62811,62421,62056,62803,63890,..
