#NAME?,"Sorry, the query is too large to fit into the Excel cell. You will not be able to update your table with the .Stat Populator.",,,,,,,,,,,,,,,,,,,,,
Dataset: Metropolitan areas,,,,,,,,,,,,,,,,,,,,,,
Variables,,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",,,,,,,,,,,,,,,,,,,,
Unit,,US Dollar,,,,,,,,,,,,,,,,,,,,
Year,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
  CH005: Lausanne,,..,..,..,..,..,..,..,..,51128,50506,52538,53368,55928,53993,54823,55152,58075,55349,57548,57380,..
CHL: Chile,,14464,14812,15117,15572,16522,17297,18205,18901,19278,18770,19655,20626,21487,22142,22316,22564,22712,22705,23193,22936,21176
  CL004: Antofagasta,,..,..,..,..,..,..,..,..,69778,66622,77985,73783,74093,69773,70683,63427,59206,63681,64537,61707,69628
  CL006: Coquimbo-La Serena,,..,..,..,..,..,..,..,..,17551,16210,19676,21486,20628,19477,18658,17701,17706,18186,18444,18476,18072
  CL010: Valparaiso,,..,..,..,..,..,..,..,..,15380,15424,16305,16963,17721,18537,17815,18002,18226,18138,17854,17650,16314
  CL011: Santiago,,..,..,..,..,..,..,..,..,21258,20804,21082,22397,24462,25684,25644,26385,26605,25910,26311,25792,22115
  CL014: Rancagua,,..,..,..,..,..,..,..,..,17226,17176,18397,19098,18789,18833,19521,20173,20339,20109,20598,20412,20345
  CL017: Talca,,..,..,..,..,..,..,..,..,15360,14260,13476,14544,15276,15249,15353,16894,16876,16223,17311,17136,16346
  CL020: Concepcion,,..,..,..,..,..,..,..,..,17467,16747,16178,18033,18390,18788,19643,20799,20959,20830,21947,21952,20013
  CL022: Temuco,,..,..,..,..,..,..,..,..,10611,10078,10623,11181,11432,11994,12092,12801,13435,13378,13971,14100,13097
  CL025: Puerto Montt,,..,..,..,..,..,..,..,..,13030,12748,12352,13504,13411,14948,16406,16576,17195,18414,18896,19112,17335
COL: Colombia,,..,..,..,..,..,9582,10105,10663,10891,10896,11262,11918,12261,12768,13217,13476,13606,13619,13725,13849,12658
  COL01: Bogota D.C.,,..,..,..,..,..,15658,16270,17076,17041,17296,17606,17908,18431,19295,20145,21098,21372,21433,21571,21691,19884
  COL02: Medellin,,..,..,..,..,..,11164,11659,12286,11915,11751,11877,12387,12711,13135,13732,14287,14611,14362,14407,14620,13770
  COL03: Cali,,..,..,..,..,..,10111,10846,11613,11488,11715,11779,11866,12184,12698,13396,14055,14489,14454,14592,14962,14246
  COL04: Barranquilla,,..,..,..,..,..,7653,8142,8924,8843,8936,8757,8930,9565,10215,10992,11699,11849,11740,11588,11520,10596
  COL05: Cartagena,,..,..,..,..,..,6708,7182,7698,7714,7475,7953,8653,8876,9662,9639,9838,10183,10333,10287,10376,8967
  COL06: Bucaramanga,,..,..,..,..,..,12784,13633,14501,15238,14431,15682,16732,16939,17632,19900,19560,19420,19555,19605,19861,17287
  COL07: Cucuta,,..,..,..,..,..,4741,5191,5497,5760,5895,5891,5936,5977,6319,6649,6937,7185,7033,6966,6732,6188
  COL08: Pereira,,..,..,..,..,..,7663,8247,8386,8384,8560,8637,8585,8818,9474,10174,10633,11000,11137,11199,11468,10846
  COL09: Ibague,,..,..,..,..,..,7865,8368,9032,9383,9003,8996,9471,9649,9973,10496,10670,10926,10924,10875,11021,10390
  COL10: Manizales,,..,..,..,..,..,7560,8145,8507,8449,8255,8334,8242,8243,8649,9211,9691,10064,10123,10175,10439,10164
  COL11: Santa Marta,,..,..,..,..,..,5060,5086,5295,5619,5958,5978,5899,6121,6498,6417,6794,7066,7008,6950,6859,6351
  COL12: Pasto,,..,..,..,..,..,4214,4570,4685,4584,4694,4667,4843,5078,5388,5683,6146,6609,6338,6354,6592,6438
  COL13: Armenia,,..,..,..,..,..,6254,6967,7194,7194,7221,7381,7691,8127,8273,8438,9137,9643,9727,9568,9759,9183
  COL14: Villavicencio,,..,..,..,..,..,11795,13140,13369,17368,17975,23718,33000,34427,35411,30067,23676,18953,20333,22297,22896,18283
  COL15: Monteria,,..,..,..,..,..,4091,4301,4849,4480,4388,4438,4461,4700,4946,5282,5392,5443,5513,5530,5698,5508
  COL16: Valledupar,,..,..,..,..,..,9026,9551,9568,10692,10643,10607,11918,11930,11023,10820,11080,12050,12890,12976,11641,8944
  COL17: Buenaventura,,..,..,..,..,..,12533,13465,14440,14303,14606,14705,14830,15244,15904,16797,17639,18200,18171,18361,18856,17972
  COL18: Neiva,,..,..,..,..,..,6867,6940,7122,7723,7417,7864,8607,8526,8786,9163,9123,9129,8895,8820,9112,8622
  COL19: Palmira,,..,..,..,..,..,8593,9226,9887,9789,9991,10052,10134,10413,10859,11464,12037,12415,12390,12518,12840,12223
  COL20: Popayan,,..,..,..,..,..,4588,4836,5038,5175,5298,5604,5684,6055,6583,7166,7726,7981,7816,7702,7858,7448
  COL21: Sincelejo,,..,..,..,..,..,4100,4420,4754,4808,5079,4999,5178,5517,5872,6311,6578,6749,6781,6706,6720,6246
  COL25: Riohacha,,..,..,..,..,..,9619,10190,9937,11821,11622,11154,11930,11786,10908,10641,10515,10606,11171,11272,9766,6781
CZE: Czechia,,23357,24176,24630,25534,26756,28513,30368,31964,32540,30779,31419,31897,31591,31544,32269,33924,34734,36443,37498,38490,36109
  CZ001: Prague,,..,40059,42477,44340,46515,49727,52977,56350,57421,53264,54590,53822,53635,53331,54520,57350,58915,61267,63311,64996,59608
  CZ002: Brno,,..,22482,22902,24008,24820,26203,27975,29907,31530,29528,30070,30946,30523,31199,30905,32648,32811,34189,35742,36659,35141
  CZ003: Ostrava,,..,18419,18508,19120,20794,23070,24115,25475,26204,24158,25055,26226,26482,25488,26609,27688,28430,29472,30626,30105,28193
  CZ004: Plzen,,..,23546,23785,24933,26862,27570,30008,30433,29150,28532,29285,29979,28799,29706,30434,31597,32253,33675,34294,34249,32005
DEU: Germany,,39973,40598,40429,40099,40572,40884,42477,43807,44280,41868,43725,46336,46469,46559,47444,47897,48382,49470,49844,50232,47852
  DE001: Berlin,,35468,35434,34843,34263,34232,34720,35888,36707,37760,36859,37949,40850,40615,40597,41554,42155,43457,44612,45781,46548,..
  DE002: Hamburg,,53934,55412,54594,53773,54333,55417,56006,56633,57302,54285,55257,57205,57538,57959,58140,58953,59016,60305,60041,61058,..
  DE003: Munich,,73574,75178,74330,71675,73016,73650,75348,77356,74794,71876,73174,77934,77863,77794,78394,79451,80961,83288,83248,83965,..
  DE004: Cologne,,53623,54580,53864,53201,53695,52758,54550,56262,54111,52496,53502,54942,54971,55307,57219,59648,59335,60409,60755,60310,..
  DE005: Frankfurt am Main,,65697,66984,65546,66323,66101,66073,68159,69275,69196,65324,66259,69626,68034,67845,68851,68361,68821,69328,69206,69372,..
  DE007: Stuttgart,,56617,59515,58454,58586,57349,55771,59906,62786,61161,53747,59725,64073,64578,64318,64918,67619,66661,68493,68945,67644,..
  DE008: Leipzig,,28438,28921,29526,29703,30004,29990,31975,32825,33413,32424,33647,36671,37322,37746,38876,38865,39296,40211,40173,41097,..
  DE009: Dresden,,28686,29785,30837,31647,32480,32179,33177,33835,33750,32233,33277,34915,34866,35452,36432,37791,37996,38861,39340,39767,..
  DE011: Dusseldorf,,60185,63281,62043,61579,62992,63317,64736,68442,69878,65261,65737,67455,66585,66972,67564,68074,67824,69986,70866,71238,..
  DE012: Bremen,,40595,41187,41193,41023,41331,41190,43267,44458,44768,40792,43118,45173,46268,46179,46915,46670,46886,47621,47079,47484,..
  DE013: Hanover,,44633,44461,44255,44156,43666,46367,48792,48674,49338,47060,48391,51709,51589,50242,50990,50664,52368,52546,53516,54827,..
  DE014: Nuremberg,,47746,46764,47573,46646,48586,47690,49349,50820,51677,49770,51080,54874,55877,55565,56511,57191,58089,59506,60499,60400,..
  DE017: Bielefeld,,42841,44020,42376,41823,41354,42293,42867,45333,45612,44120,44725,46352,46679,47256,48367,48485,48619,49704,50819,51238,..
  DE018: Halle an der Saale,,31449,32032,32849,33271,34177,34036,35477,35265,35416,34545,36909,38117,38267,37766,37833,38669,38997,39930,40568,40847,..
  DE019: Magdeburg,,28911,29793,30976,30860,30998,31469,32584,33944,35414,33548,34732,36013,37003,36981,37791,37090,37017,37703,37871,38848,..
  DE020: Wiesbaden,,51861,52412,51671,53759,54021,53638,54726,56162,55880,53371,54182,56800,56680,56376,57883,57531,58422,59973,58933,59862,..
  DE021: Gottingen,,32863,32796,32633,32432,33420,33682,35331,37132,36277,34515,35684,38687,38547,38962,39796,39557,40205,41142,41293,41637,..
  DE025: Darmstadt,,46135,47991,48206,46642,47681,47166,48227,48872,49671,47492,49525,53418,52721,52315,52914,53171,55831,57107,56875,57575,..
  DE026: Trier,,33268,33235,33559,33777,34520,34463,35349,35313,35642,33478,34373,35866,35528,36017,36951,37246,36621,37240,37395,37276,..
  DE027: Freiburg im Breisgau,,39120,39439,39920,38475,38220,38204,39503,40329,40893,39061,41070,44357,44194,44613,45843,45989,45810,46578,47118,48340,..
  DE028: Regensburg,,46067,45192,44776,45588,47153,47225,48996,52018,53185,48496,54517,57101,56187,56061,57806,57933,57776,60325,58412,56989,..
  DE031: Schwerin,,26374,27836,27579,27605,27600,28153,28646,29775,30070,29654,30289,32544,33037,32972,34088,33986,34115,36025,35756,36677,..
  DE032: Erfurt,,30646,31149,31038,31365,32129,32003,33651,34324,34431,33411,34734,37220,37024,38585,39766,39685,39721,40289,40259,40719,..
  DE033: Augsburg,,41195,42491,42668,41505,42147,42349,43618,43988,43830,41352,43305,45569,45949,44787,45213,46354,46203,46440,47172,47513,..
  DE034: Bonn,,49163,48954,54006,48325,48323,48426,51565,52870,54225,53665,53336,56478,54297,56126,53818,53834,53026,54645,57542,57423,..
  DE035: Karlsruhe,,51531,52325,51642,50276,51512,52064,55489,56974,57913,54165,56140,58271,58103,56763,58760,60043,59364,60447,61188,60721,..
  DE036: Monchengladbach,,35850,38269,36876,35179,35073,35349,36190,38882,38498,36649,37603,39205,40149,39430,40113,40893,41256,42437,41965,41920,..
  DE037: Mainz,,52747,52743,50883,48847,48775,50463,50539,51834,52593,53120,54832,55965,57626,57031,57099,56933,57445,57012,57546,57383,..
  DE038: Ruhr,,33148,33441,33585,33704,34499,34982,35834,37322,38989,37019,38101,39937,39246,38763,39306,39168,38936,39678,40596,40816,..
  DE039: Kiel,,37559,38394,37069,37381,36302,36356,37371,37169,38642,37359,37273,39865,40703,40542,40750,40125,40418,41902,42200,43282,..
  DE040: Saarbrucken,,38455,38983,38453,38457,40097,42166,44218,45899,46214,40851,43124,46659,46245,45094,46684,47111,46351,46587,46326,45202,..
  DE042: Koblenz,,48099,47290,48093,48883,49609,49180,50431,50528,50483,48289,49365,51535,52026,52817,53160,53669,53418,54291,53785,53944,..
  DE043: Rostock,,29956,29124,29188,28448,28603,28627,29200,30394,31679,31107,33106,34500,34043,35156,36700,36303,36351,38874,37583,39236,..
  DE044: Kaiserslautern,,31482,30901,30904,31641,31979,30752,31794,32290,33273,31749,32786,34176,33852,33868,35747,36420,37109,36352,36642,36904,..
  DE045: Iserlohn,,38128,37723,36964,36122,36548,37290,39350,40055,40950,37211,39473,42014,42329,43212,43463,45089,44545,45688,45449,44501,..
  DE052: Flensburg,,33432,33102,32649,32691,33145,32715,33740,34020,34560,33418,33579,35181,35744,35827,36538,36636,36769,38463,38317,39056,..
  DE054: Constance,,35737,37222,35130,35652,34558,35733,37987,39667,40178,37709,38287,40838,41470,42837,42604,42179,42659,42907,43089,43510,..
  DE057: Giessen,,41926,43057,42749,42446,42303,41884,43312,44541,44991,40691,41691,43333,42830,42269,43851,43187,44421,44386,44719,44900,..
  DE061: Aschaffenburg,,40673,43049,42915,43372,42586,44122,46881,48453,46832,44176,45891,50135,49466,48718,48824,48611,50532,50834,50814,50925,..
  DE064: Neubrandenburg,,26484,26934,26760,27845,28281,27723,29288,29999,29854,29675,30095,31197,31742,32229,32766,32406,32396,34281,33493,34761,..
  DE069: Rosenheim,,35055,35198,35332,34324,35300,35658,37165,37901,39047,37560,38635,41921,42526,42772,43636,43844,44209,44571,45229,45928,..
  DE073: Offenburg,,42600,42875,42772,42356,43331,43654,45859,47289,47532,43627,45560,49256,47265,47475,48279,48454,49550,49857,50909,50661,..
  DE074: Gorlitz,,19110,19489,20743,20851,21629,22118,23313,25858,26057,26152,27316,28940,29755,30067,30763,31193,31492,32308,33352,34439,..
  DE077: Schweinfurt,,39493,40228,41266,40037,41429,43424,43999,45502,46101,42547,46040,49933,50021,50096,51000,50156,50534,52495,52329,50749,..
  DE079: Wetzlar,,36119,35502,35305,35853,37801,38223,39748,41367,42668,37742,38970,41537,40628,39888,40791,41424,41468,41636,42173,42345,..
  DE083: Braunschweig-Salzgitter Wolfsburg,,49347,50197,47569,47743,47715,50157,51785,54777,56387,51211,57365,62974,62679,62050,64435,59296,70787,69058,71839,72124,..
  DE084: Mannheim-Ludwigshafen,,48740,48914,50013,49996,51007,50517,51593,52932,53569,49458,52625,55285,55135,55051,54775,56359,56087,56894,56569,55963,..
  DE504: Muenster,,52659,53183,52731,53336,54257,54734,57322,58873,59735,53338,53645,54667,53919,52003,52730,53090,53024,54574,54734,55829,..
  DE507: Aachen,,39364,38074,39895,38046,38644,37886,38202,39986,40134,38411,39710,42249,43474,41956,44638,44999,45236,46287,46825,47544,..
  DE510: Lubeck,,37189,37808,37499,37472,36366,36988,37010,37778,37830,36380,37866,39330,40480,40796,39891,40609,39731,43119,43372,44474,..
  DE513: Kassel,,41390,41489,42322,43860,42726,41856,43841,44467,44833,42199,43297,45811,45202,45198,46784,46853,50732,49763,49413,49708,..
  DE517: Osnabruck,,35878,35351,35200,35150,36059,36185,37914,39157,40004,37247,39006,42795,42533,42553,43604,44404,43873,44792,44844,45772,..
  DE520: Oldenburg (Oldenburg),,36782,37397,36942,35315,35949,35775,37563,38299,38499,37541,38590,40816,40840,41085,42013,41784,42081,42954,43500,44384,..
  DE522: Heidelberg,,41773,43559,43390,41702,41205,41999,44359,45601,46741,44465,45671,48235,47287,47246,47752,47778,47626,48844,48891,50319,..
  DE523: Paderborn,,36836,36226,35914,34827,36056,36370,38251,41245,41760,39068,39437,41026,41863,42231,44102,43248,44025,44538,44448,44831,..
  DE524: Wurzburg,,39446,40635,40329,39780,39950,40644,41387,42431,42842,40852,43648,46556,46667,46923,47808,48724,49567,50901,50453,50998,..
  DE527: Bremerhaven,,28295,28489,27955,28736,28531,29431,30550,31021,30901,29214,29960,31379,33003,32464,33607,33333,32957,33852,34254,34776,..
  DE529: Heilbronn,,48876,49773,47861,46700,46968,48242,52535,53628,54515,51006,53958,59342,62047,65054,66080,67082,65208,67730,70463,70835,..
  DE532: Ulm,,45213,45632,44172,44200,45009,46038,48289,51191,51714,47278,50029,53290,52252,53386,53700,54247,55502,56014,56916,57153,..
  DE533: Pforzheim,,37109,36894,36399,35987,36843,37952,39176,39588,39401,35611,39201,42362,43085,43232,42822,42818,42195,42411,42732,42506,..
  DE534: Ingolstadt,,44209,47229,47345,48232,48405,49490,54574,54809,52610,51379,61849,68590,71807,77086,75917,79311,78120,79190,76178,77778,..
  DE537: Reutlingen,,42006,42473,42673,41624,42935,41082,43347,44574,45802,40230,43491,46539,46500,47982,49785,49183,49737,50450,49866,50073,..
  DE540: Siegen,,35821,35806,34499,34998,35311,36257,38717,40213,41710,38058,39324,42502,42272,41864,42654,43408,43181,44356,44800,44473,..
  DE542: Hildesheim,,29560,29200,30235,30664,30438,30463,30788,30725,32101,30252,31468,33574,34374,32947,34133,34273,34424,35015,34825,35514,..
  DE544: Zwickau,,26284,27405,27142,27339,27994,27487,28385,30080,30050,29049,30716,32895,33132,33030,35342,36495,36971,38194,37826,38311,..
  DE546: Wuppertal,,42693,40641,40259,39192,40337,40694,41140,41861,42362,41113,41509,43903,43298,43267,45068,45346,46562,46026,45308,45112,..
"  DE548: Duren, Stadt",,32102,30807,30198,29836,30502,30344,31617,32018,33410,31642,32160,34485,35312,35348,35721,36012,35628,36288,36623,36987,..
"  DE549: Bocholt, Stadt",,34757,34584,33530,33138,33774,34371,35663,36965,38437,36750,39123,42074,42619,42750,43724,44688,45023,46156,46074,46955,..
DNK: Denmark,,45431,45641,45690,45739,46837,47809,49533,49803,49289,46567,47239,47647,47585,47839,48402,49251,50426,51475,52205,53080,51837
  DK001: Copenhagen,,..,..,..,..,..,55974,55911,56159,55747,53804,55893,54876,55196,56009,57401,59511,60235,61836,62889,63540,62474
  DK002: Aarhus,,..,..,..,..,..,42274,44763,44873,44539,43265,41888,42406,41782,41433,41541,42142,44746,45359,45764,46759,45549
  DK003: Odense,,..,..,..,..,..,37495,39337,39650,39842,38136,36878,37494,36764,36854,37254,37807,38937,39788,39871,40304,39013
  DK004: Aalborg,,..,..,..,..,..,41132,43465,44118,43103,41121,40144,40178,40269,40181,39971,40811,41533,42528,42385,42755,41557
ESP: Spain,,30514,32153,33163,33886,34667,35581,36599,37319,36894,35058,34907,34492,33369,32952,33556,34900,35950,36930,37606,38100,33858
  ES001: Madrid,,..,..,..,44028,45163,45911,47946,49074,48218,46497,45553,45593,44740,44006,44873,46873,48186,49550,50246,51020,..
  ES002: Barcelona,,..,..,..,39047,39986,41116,42148,43535,42950,40669,40643,39968,38705,38382,39312,40875,42236,43585,44408,45016,..
  ES003: Valencia,,..,..,..,31613,32195,32373,33330,34924,34684,32217,32135,31838,30453,30103,30928,31779,31851,32368,33283,33570,..
  ES004: Seville,,..,..,..,26917,27837,28996,29627,30752,30219,28825,28339,28044,27296,26315,26871,27521,28251,29098,29663,30004,..
  ES005: Saragossa,,..,..,..,36906,37497,38478,40058,41382,40627,38340,38314,37678,35804,35427,36648,37475,39156,40555,41348,41639,..
  ES006: Malaga,,..,..,..,24179,25708,27128,27487,27725,27320,26145,25812,25143,23947,23419,24305,25225,25835,26650,27294,27694,..
  ES007: Murcia,,..,..,..,28605,29217,30096,30868,31656,31402,29298,29138,28309,27578,27641,27760,29404,30123,30728,30607,30928,..
  ES008: Las Palmas,,..,..,..,27903,27944,28069,28989,29562,29323,28054,27600,27284,26310,26113,26122,26468,27957,28854,29461,30201,..
  ES009: Valladolid,,..,..,..,33858,34774,35982,36606,37622,36571,34807,35713,35016,33850,33409,34100,35396,36160,37391,38480,38950,..
  ES010: Palma de Mallorca,,..,..,..,38350,39506,40329,41699,42094,41264,38872,38342,37763,36920,37018,38404,40185,42035,43265,44014,44424,..
  ES012: Vitoria,,..,..,..,46890,48757,50739,54021,56126,56884,51865,50941,51057,49165,49584,50981,51588,50720,51202,51396,50969,..
  ES013: Oviedo,,..,..,..,31123,31917,33177,34461,35531,35248,32781,32801,32243,30768,29860,29936,31071,31617,32577,33107,33357,..
  ES014: Pamplona,,..,..,..,42642,43504,44491,45261,46236,45782,43346,42941,42335,40412,39974,40712,41869,42947,43816,43947,44535,..
  ES015: Santander,,..,..,..,30420,31113,32028,32760,33801,33557,31867,31707,31147,29987,29191,29849,30534,31574,32429,33197,33620,..
  ES019: Bilbao,,..,..,..,38112,39267,40867,41786,42875,43867,42309,42782,41966,40896,39961,41041,42720,44308,44545,45492,46054,..
  ES020: Cordoba,,..,..,..,22842,24026,24611,25826,26846,26432,25182,24877,24527,23122,23271,23460,24761,25376,26114,26162,25501,..
  ES021: Alicante,,..,..,..,27134,28077,28585,29236,29535,28603,26458,25916,24955,23812,23418,24335,25288,26494,27317,27514,27835,..
  ES022: Vigo,,..,..,..,26377,27813,28607,30192,31445,31817,29902,29304,28463,27522,27586,28221,29246,30199,31779,31809,32394,..
