originalid,year,weeksworked
1,2017,
1,2018,
1,2019,
1,2020,
1,2021,
2,2017,52
2,2018,52
2,2019,52
2,2020,52
2,2021,46
3,2017,52
3,2018,52
3,2019,9
3,2020,0
3,2021,0
4,2017,31
4,2018,48
4,2019,52
4,2020,52
4,2021,51
5,2017,52
5,2018,52
5,2019,52
5,2020,52
5,2021,43
6,2017,37
6,2018,52
6,2019,52
6,2020,52
6,2021,40
7,2017,52
7,2018,12
7,2019,0
7,2020,
7,2021,
8,2017,52
8,2018,52
8,2019,52
8,2020,51
8,2021,52
9,2017,52
9,2018,52
9,2019,52
9,2020,52
9,2021,52
10,2017,52
10,2018,52
10,2019,52
10,2020,52
10,2021,42
11,2017,12
11,2018,52
11,2019,52
11,2020,52
11,2021,52
12,2017,52
12,2018,52
12,2019,52
12,2020,52
12,2021,44
13,2017,
13,2018,
13,2019,
13,2020,
13,2021,
14,2017,0
14,2018,0
14,2019,0
14,2020,0
14,2021,0
15,2017,31
15,2018,31
15,2019,0
15,2020,0
15,2021,
16,2017,52
16,2018,15
16,2019,18
16,2020,52
16,2021,46
17,2017,
17,2018,51
17,2019,52
17,2020,13
17,2021,
18,2017,0
18,2018,0
18,2019,0
18,2020,0
18,2021,0
19,2017,35
19,2018,52
19,2019,52
19,2020,52
19,2021,52
20,2017,52
20,2018,14
20,2019,
20,2020,
20,2021,
21,2017,52
21,2018,52
21,2019,52
21,2020,52
21,2021,39
22,2017,52
22,2018,52
22,2019,52
22,2020,52
22,2021,52
23,2017,52
23,2018,52
23,2019,52
23,2020,52
23,2021,45
24,2017,
24,2018,0
24,2019,0
24,2020,0
24,2021,0
25,2017,7
25,2018,52
25,2019,45
25,2020,0
25,2021,4
26,2017,0
26,2018,0
26,2019,0
26,2020,0
26,2021,0
27,2017,52
27,2018,52
27,2019,52
27,2020,52
27,2021,40
28,2017,52
28,2018,52
28,2019,52
28,2020,52
28,2021,52
29,2017,
29,2018,
29,2019,
29,2020,
29,2021,
30,2017,
30,2018,
30,2019,
30,2020,
30,2021,
31,2017,52
31,2018,52
31,2019,52
31,2020,52
31,2021,41
32,2017,52
32,2018,52
32,2019,52
32,2020,52
32,2021,40
33,2017,52
33,2018,52
33,2019,52
33,2020,52
33,2021,44
34,2017,0
34,2018,0
34,2019,0
34,2020,0
34,2021,0
35,2017,52
35,2018,52
35,2019,52
35,2020,52
35,2021,42
36,2017,0
36,2018,0
36,2019,
36,2020,
36,2021,
37,2017,52
37,2018,52
37,2019,52
37,2020,52
37,2021,47
38,2017,52
38,2018,52
38,2019,52
38,2020,52
38,2021,47
39,2017,51
39,2018,
39,2019,
39,2020,
39,2021,
40,2017,
40,2018,
40,2019,
40,2020,
40,2021,
41,2017,52
41,2018,41
41,2019,22
41,2020,52
41,2021,40
42,2017,
42,2018,
42,2019,
42,2020,
42,2021,
43,2017,0
43,2018,0
43,2019,0
43,2020,0
43,2021,0
44,2017,0
44,2018,0
44,2019,0
44,2020,0
44,2021,0
45,2017,52
45,2018,52
45,2019,52
45,2020,52
45,2021,42
46,2017,0
46,2018,0
46,2019,0
46,2020,0
46,2021,0
47,2017,0
47,2018,42
47,2019,11
47,2020,52
47,2021,39
48,2017,51
48,2018,52
48,2019,52
48,2020,52
48,2021,52
49,2017,52
49,2018,52
49,2019,52
49,2020,52
49,2021,52
50,2017,52
50,2018,52
50,2019,52
50,2020,52
50,2021,46
51,2017,52
51,2018,52
51,2019,
51,2020,
51,2021,
52,2017,52
52,2018,52
52,2019,52
52,2020,52
52,2021,44
53,2017,
53,2018,
53,2019,
53,2020,
53,2021,
54,2017,52
54,2018,34
54,2019,52
54,2020,52
54,2021,43
55,2017,52
55,2018,52
55,2019,51
55,2020,52
55,2021,50
56,2017,18
56,2018,52
56,2019,52
56,2020,52
56,2021,49
57,2017,52
57,2018,52
57,2019,52
57,2020,52
57,2021,39
58,2017,52
58,2018,52
58,2019,52
58,2020,52
58,2021,52
59,2017,52
59,2018,52
59,2019,52
59,2020,52
59,2021,43
60,2017,0
60,2018,0
60,2019,0
60,2020,0
60,2021,0
61,2017,52
61,2018,39
61,2019,36
61,2020,21
61,2021,0
62,2017,52
62,2018,52
62,2019,52
62,2020,52
62,2021,44
63,2017,52
63,2018,52
63,2019,52
63,2020,52
63,2021,39
64,2017,40
64,2018,52
64,2019,52
64,2020,52
64,2021,42
65,2017,52
65,2018,52
65,2019,52
65,2020,52
65,2021,52
66,2017,
66,2018,
66,2019,
66,2020,
66,2021,
67,2017,52
67,2018,52
67,2019,52
67,2020,52
67,2021,43
68,2017,0
68,2018,0
68,2019,0
68,2020,0
68,2021,51
69,2017,52
69,2018,52
69,2019,52
69,2020,52
69,2021,52
70,2017,52
70,2018,52
70,2019,52
70,2020,10
70,2021,
71,2017,52
71,2018,52
71,2019,52
71,2020,52
71,2021,52
72,2017,0
72,2018,0
72,2019,0
72,2020,0
72,2021,0
73,2017,52
73,2018,52
73,2019,52
73,2020,10
73,2021,
74,2017,51
74,2018,52
74,2019,52
74,2020,52
74,2021,44
75,2017,52
75,2018,52
75,2019,52
75,2020,52
75,2021,52
76,2017,52
76,2018,52
76,2019,52
76,2020,52
76,2021,52
77,2017,
77,2018,
77,2019,
77,2020,
77,2021,
78,2017,52
78,2018,52
78,2019,52
78,2020,52
78,2021,52
79,2017,22
79,2018,
79,2019,52
79,2020,52
79,2021,49
80,2017,0
80,2018,0
80,2019,0
80,2020,0
80,2021,0
81,2017,0
81,2018,0
81,2019,0
81,2020,0
81,2021,0
82,2017,52
82,2018,52
82,2019,52
82,2020,15
82,2021,13
83,2017,52
83,2018,52
83,2019,52
83,2020,52
83,2021,52
84,2017,0
84,2018,0
84,2019,8
84,2020,14
84,2021,
85,2017,52
85,2018,52
85,2019,52
85,2020,52
85,2021,43
86,2017,52
86,2018,16
86,2019,0
86,2020,4
86,2021,50
87,2017,
87,2018,
87,2019,
87,2020,
87,2021,
88,2017,51
88,2018,52
88,2019,52
88,2020,
88,2021,
89,2017,52
89,2018,52
89,2019,52
89,2020,52
89,2021,49
90,2017,52
90,2018,52
90,2019,52
90,2020,52
90,2021,41
91,2017,52
91,2018,52
91,2019,52
91,2020,52
91,2021,43
92,2017,0
92,2018,0
92,2019,0
92,2020,0
92,2021,0
93,2017,0
93,2018,0
93,2019,12
93,2020,14
93,2021,
94,2017,52
94,2018,8
94,2019,0
94,2020,44
94,2021,50
95,2017,
95,2018,
95,2019,
95,2020,
95,2021,
96,2017,
96,2018,
96,2019,
96,2020,
96,2021,
97,2017,52
97,2018,52
97,2019,49
97,2020,
97,2021,
98,2017,
98,2018,
98,2019,
98,2020,
98,2021,
99,2017,
99,2018,
99,2019,
99,2020,
99,2021,
100,2017,52
100,2018,52
100,2019,52
100,2020,52
100,2021,42
101,2017,0
101,2018,0
101,2019,
101,2020,
101,2021,
102,2017,52
102,2018,52
102,2019,52
102,2020,51
102,2021,52
103,2017,
103,2018,
103,2019,
103,2020,
103,2021,
104,2017,50
104,2018,52
104,2019,52
104,2020,42
104,2021,44
105,2017,52
105,2018,52
105,2019,52
105,2020,52
105,2021,52
106,2017,
106,2018,
106,2019,
106,2020,
106,2021,
107,2017,52
107,2018,52
107,2019,52
107,2020,52
107,2021,42
108,2017,52
108,2018,52
108,2019,52
108,2020,52
108,2021,52
109,2017,0
109,2018,0
109,2019,0
109,2020,0
109,2021,0
110,2017,0
110,2018,0
110,2019,17
110,2020,52
110,2021,4
111,2017,0
111,2018,0
111,2019,0
111,2020,0
111,2021,0
112,2017,52
112,2018,52
112,2019,52
112,2020,52
112,2021,52
113,2017,52
113,2018,52
113,2019,52
113,2020,52
113,2021,52
114,2017,45
114,2018,52
114,2019,52
114,2020,52
114,2021,43
115,2017,52
115,2018,52
115,2019,52
115,2020,21
115,2021,
116,2017,52
116,2018,52
116,2019,52
116,2020,3
116,2021,
117,2017,52
117,2018,52
117,2019,52
117,2020,52
117,2021,52
118,2017,
118,2018,
118,2019,
118,2020,
118,2021,
119,2017,52
119,2018,52
119,2019,52
119,2020,41
119,2021,52
120,2017,52
120,2018,52
120,2019,31
120,2020,8
120,2021,49
121,2017,52
121,2018,52
121,2019,52
121,2020,52
121,2021,52
122,2017,52
122,2018,52
122,2019,52
122,2020,52
122,2021,52
123,2017,
123,2018,
123,2019,
123,2020,
123,2021,
124,2017,
124,2018,
124,2019,
124,2020,
124,2021,
125,2017,52
125,2018,52
125,2019,52
125,2020,52
125,2021,52
126,2017,52
126,2018,52
126,2019,52
126,2020,52
126,2021,50
127,2017,52
127,2018,52
127,2019,52
127,2020,0
127,2021,
128,2017,52
128,2018,22
128,2019,52
128,2020,2
128,2021,0
129,2017,36
129,2018,25
129,2019,
129,2020,
129,2021,
130,2017,52
130,2018,52
130,2019,48
130,2020,52
130,2021,52
131,2017,
131,2018,
131,2019,
131,2020,
131,2021,
132,2017,52
132,2018,52
132,2019,52
132,2020,52
132,2021,52
133,2017,52
133,2018,52
133,2019,52
133,2020,52
133,2021,52
134,2017,
134,2018,
134,2019,
134,2020,
134,2021,
135,2017,
135,2018,
135,2019,
135,2020,
135,2021,
136,2017,52
136,2018,52
136,2019,52
