locationid,year,month,temperature,latitude,longitude,elevation,station,countryid,country,latabs
MU000041254,2023,1,10.21,23.067,57.633,1755.0,SAIQ,MU,Oman,23.067
MU000041288,2023,1,23.02,20.667,58.9,19.0,MASIRAH,MU,Oman,20.667
MUM00041242,2023,1,19.2,25.617,56.25,10.0,DIBA,MU,Oman,25.617
MUM00041244,2023,1,19.86,24.233,55.783,299.0,BURAIMI_AUT,MU,Oman,24.233
MUM00041246,2023,1,20.62,24.467,56.633,4.0,SOHAR_MAJIS,MU,Oman,24.467
MUM00041252,2023,1,21.14,23.233,56.433,327.0,IBRI,MU,Oman,23.233
MUM00041253,2023,1,19.56,23.417,57.433,322.0,RUSTAQ,MU,Oman,23.417
MUM00041255,2023,1,19.53,22.867,57.55,462.0,NIZWA,MU,Oman,22.867
MUM00041256,2023,1,21.47,23.593,58.284,14.6,SEEB_INTL,MU,Oman,23.593
MUM00041257,2023,1,19.25,23.317,57.95,417.0,SAMAIL,MU,Oman,23.317
MUM00041258,2023,1,22.13,23.633,58.567,3.0,MINA_SULTAN_QABOOS,MU,Oman,23.633
MUM00041262,2023,1,20.85,22.35,56.483,170.0,FAHUD_AUT,MU,Oman,22.35
MUM00041263,2023,1,19.82,23.0,57.317,592.0,BAHLA,MU,Oman,23.0
MUM00041264,2023,1,20.58,22.5,57.367,328.0,ADAM_AIRPORT,MU,Oman,22.5
MUM00041265,2023,1,20.21,22.733,58.5,469.0,IBRA,MU,Oman,22.733
MUM00041267,2023,1,22.16,22.667,59.4,11.0,QALHAT,MU,Oman,22.667
MUM00041268,2023,1,21.57,22.533,59.483,14.0,SUR,MU,Oman,22.533
MUM00041270,2023,1,21.65,22.3,59.817,43.0,RAS_AL_HADD,MU,Oman,22.3
MUM00041275,2023,1,21.0,21.383,57.05,133.0,QARN_ALAM,MU,Oman,21.383
MUM00041287,2023,1,21.32,20.867,58.25,34.0,JOBA,MU,Oman,20.867
MUM00041304,2023,1,20.96,18.133,55.183,273.0,MARMUL,MU,Oman,18.133
MUM00041314,2023,1,20.29,17.666,54.025,478.5,THUMRAIT,MU,Oman,17.666
MUM00041315,2023,1,19.29,17.25,54.083,881.0,QAIROON_HAIRITI,MU,Oman,17.25
MUM00041316,2023,1,24.26,17.039,54.091,22.3,SALALAH,MU,Oman,17.039
MU000041254,2023,2,15.84,23.067,57.633,1755.0,SAIQ,MU,Oman,23.067
MU000041288,2023,2,23.92,20.667,58.9,19.0,MASIRAH,MU,Oman,20.667
MUM00041242,2023,2,21.85,25.617,56.25,10.0,DIBA,MU,Oman,25.617
MUM00041244,2023,2,22.65,24.233,55.783,299.0,BURAIMI_AUT,MU,Oman,24.233
MUM00041246,2023,2,23.36,24.467,56.633,4.0,SOHAR_MAJIS,MU,Oman,24.467
MUM00041252,2023,2,24.1,23.233,56.433,327.0,IBRI,MU,Oman,23.233
MUM00041253,2023,2,24.0,23.417,57.433,322.0,RUSTAQ,MU,Oman,23.417
MUM00041255,2023,2,23.35,22.867,57.55,462.0,NIZWA,MU,Oman,22.867
MUM00041256,2023,2,22.75,23.593,58.284,14.6,SEEB_INTL,MU,Oman,23.593
MUM00041257,2023,2,24.48,23.317,57.95,417.0,SAMAIL,MU,Oman,23.317
MUM00041258,2023,2,23.92,23.633,58.567,3.0,MINA_SULTAN_QABOOS,MU,Oman,23.633
MUM00041262,2023,2,23.5,22.35,56.483,170.0,FAHUD_AUT,MU,Oman,22.35
MUM00041263,2023,2,23.62,23.0,57.317,592.0,BAHLA,MU,Oman,23.0
MUM00041264,2023,2,23.86,22.5,57.367,328.0,ADAM_AIRPORT,MU,Oman,22.5
MUM00041265,2023,2,24.15,22.733,58.5,469.0,IBRA,MU,Oman,22.733
MUM00041267,2023,2,23.42,22.667,59.4,11.0,QALHAT,MU,Oman,22.667
MUM00041268,2023,2,24.55,22.533,59.483,14.0,SUR,MU,Oman,22.533
MUM00041270,2023,2,22.66,22.3,59.817,43.0,RAS_AL_HADD,MU,Oman,22.3
MUM00041275,2023,2,23.32,21.383,57.05,133.0,QARN_ALAM,MU,Oman,21.383
MUM00041287,2023,2,24.15,20.867,58.25,34.0,JOBA,MU,Oman,20.867
MUM00041304,2023,2,22.82,18.133,55.183,273.0,MARMUL,MU,Oman,18.133
MUM00041314,2023,2,22.76,17.666,54.025,478.5,THUMRAIT,MU,Oman,17.666
MUM00041315,2023,2,20.54,17.25,54.083,881.0,QAIROON_HAIRITI,MU,Oman,17.25
MUM00041316,2023,2,24.7,17.039,54.091,22.3,SALALAH,MU,Oman,17.039
MU000041254,2023,3,15.36,23.067,57.633,1755.0,SAIQ,MU,Oman,23.067
MU000041288,2023,3,,20.667,58.9,19.0,MASIRAH,MU,Oman,20.667
MUM00041242,2023,3,24.5,25.617,56.25,10.0,DIBA,MU,Oman,25.617
MUM00041244,2023,3,25.15,24.233,55.783,299.0,BURAIMI_AUT,MU,Oman,24.233
MUM00041246,2023,3,25.8,24.467,56.633,4.0,SOHAR_MAJIS,MU,Oman,24.467
MUM00041252,2023,3,26.3,23.233,56.433,327.0,IBRI,MU,Oman,23.233
MUM00041253,2023,3,26.2,23.417,57.433,322.0,RUSTAQ,MU,Oman,23.417
MUM00041255,2023,3,25.2,22.867,57.55,462.0,NIZWA,MU,Oman,22.867
MUM00041256,2023,3,25.9,23.593,58.284,14.6,SEEB_INTL,MU,Oman,23.593
MUM00041257,2023,3,26.53,23.317,57.95,417.0,SAMAIL,MU,Oman,23.317
MUM00041258,2023,3,,23.633,58.567,3.0,MINA_SULTAN_QABOOS,MU,Oman,23.633
MUM00041262,2023,3,26.25,22.35,56.483,170.0,FAHUD_AUT,MU,Oman,22.35
MUM00041263,2023,3,25.38,23.0,57.317,592.0,BAHLA,MU,Oman,23.0
MUM00041264,2023,3,26.58,22.5,57.367,328.0,ADAM_AIRPORT,MU,Oman,22.5
MUM00041265,2023,3,25.4,22.733,58.5,469.0,IBRA,MU,Oman,22.733
MUM00041267,2023,3,26.18,22.667,59.4,11.0,QALHAT,MU,Oman,22.667
MUM00041268,2023,3,27.7,22.533,59.483,14.0,SUR,MU,Oman,22.533
MUM00041270,2023,3,24.82,22.3,59.817,43.0,RAS_AL_HADD,MU,Oman,22.3
MUM00041275,2023,3,26.52,21.383,57.05,133.0,QARN_ALAM,MU,Oman,21.383
MUM00041287,2023,3,27.15,20.867,58.25,34.0,JOBA,MU,Oman,20.867
MUM00041304,2023,3,26.52,18.133,55.183,273.0,MARMUL,MU,Oman,18.133
MUM00041314,2023,3,26.11,17.666,54.025,478.5,THUMRAIT,MU,Oman,17.666
MUM00041315,2023,3,23.14,17.25,54.083,881.0,QAIROON_HAIRITI,MU,Oman,17.25
MUM00041316,2023,3,27.2,17.039,54.091,22.3,SALALAH,MU,Oman,17.039
MU000041254,2023,4,,23.067,57.633,1755.0,SAIQ,MU,Oman,23.067
MU000041288,2023,4,,20.667,58.9,19.0,MASIRAH,MU,Oman,20.667
MUM00041242,2023,4,26.95,25.617,56.25,10.0,DIBA,MU,Oman,25.617
MUM00041244,2023,4,27.4,24.233,55.783,299.0,BURAIMI_AUT,MU,Oman,24.233
MUM00041246,2023,4,28.57,24.467,56.633,4.0,SOHAR_MAJIS,MU,Oman,24.467
MUM00041252,2023,4,29.0,23.233,56.433,327.0,IBRI,MU,Oman,23.233
MUM00041253,2023,4,28.65,23.417,57.433,322.0,RUSTAQ,MU,Oman,23.417
MUM00041255,2023,4,28.25,22.867,57.55,462.0,NIZWA,MU,Oman,22.867
MUM00041256,2023,4,28.6,23.593,58.284,14.6,SEEB_INTL,MU,Oman,23.593
MUM00041257,2023,4,,23.317,57.95,417.0,SAMAIL,MU,Oman,23.317
MUM00041258,2023,4,,23.633,58.567,3.0,MINA_SULTAN_QABOOS,MU,Oman,23.633
MUM00041262,2023,4,,22.35,56.483,170.0,FAHUD_AUT,MU,Oman,22.35
MUM00041263,2023,4,,23.0,57.317,592.0,BAHLA,MU,Oman,23.0
MUM00041264,2023,4,28.93,22.5,57.367,328.0,ADAM_AIRPORT,MU,Oman,22.5
MUM00041265,2023,4,27.85,22.733,58.5,469.0,IBRA,MU,Oman,22.733
MUM00041267,2023,4,,22.667,59.4,11.0,QALHAT,MU,Oman,22.667
MUM00041268,2023,4,29.05,22.533,59.483,14.0,SUR,MU,Oman,22.533
MUM00041270,2023,4,,22.3,59.817,43.0,RAS_AL_HADD,MU,Oman,22.3
MUM00041275,2023,4,,21.383,57.05,133.0,QARN_ALAM,MU,Oman,21.383
MUM00041287,2023,4,,20.867,58.25,34.0,JOBA,MU,Oman,20.867
MUM00041304,2023,4,,18.133,55.183,273.0,MARMUL,MU,Oman,18.133
MUM00041314,2023,4,,17.666,54.025,478.5,THUMRAIT,MU,Oman,17.666
MUM00041315,2023,4,,17.25,54.083,881.0,QAIROON_HAIRITI,MU,Oman,17.25
MUM00041316,2023,4,29.55,17.039,54.091,22.3,SALALAH,MU,Oman,17.039
MU000041254,2023,5,22.47,23.067,57.633,1755.0,SAIQ,MU,Oman,23.067
MU000041288,2023,5,31.36,20.667,58.9,19.0,MASIRAH,MU,Oman,20.667
MUM00041242,2023,5,32.5,25.617,56.25,10.0,DIBA,MU,Oman,25.617
MUM00041244,2023,5,33.0,24.233,55.783,299.0,BURAIMI_AUT,MU,Oman,24.233
MUM00041246,2023,5,34.95,24.467,56.633,4.0,SOHAR_MAJIS,MU,Oman,24.467
MUM00041252,2023,5,35.4,23.233,56.433,327.0,IBRI,MU,Oman,23.233
MUM00041253,2023,5,34.7,23.417,57.433,322.0,RUSTAQ,MU,Oman,23.417
MUM00041255,2023,5,33.3,22.867,57.55,462.0,NIZWA,MU,Oman,22.867
MUM00041256,2023,5,35.0,23.593,58.284,14.6,SEEB_INTL,MU,Oman,23.593
MUM00041257,2023,5,34.81,23.317,57.95,417.0,SAMAIL,MU,Oman,23.317
MUM00041258,2023,5,33.66,23.633,58.567,3.0,MINA_SULTAN_QABOOS,MU,Oman,23.633
MUM00041262,2023,5,34.57,22.35,56.483,170.0,FAHUD_AUT,MU,Oman,22.35
MUM00041263,2023,5,33.55,23.0,57.317,592.0,BAHLA,MU,Oman,23.0
