iso_code,lastdate,location,total_cases,total_deaths,total_cases_pm,total_deaths_pm,population,pop_density,median_age,gdp_per_capita,hosp_beds,vac_per_hund,aged_65_older,life_expectancy,hum_dev_ind,region
GGY,4/16/2023,Guernsey,35326,67,557817.114,1057.967,63329,,,,,,,,,Western Europe
GIN,11/5/2023,Guinea,38572,468,2783.103,33.768,13859349,51.755,19,1998.926,0.3,,3.135,61.6,0.477,West Africa
GNB,4/16/2023,Guinea-Bissau,9614,177,4565.963,84.062,2105580,66.191,19.4,1548.675,,38.47,3.002,58.32,0.48,West Africa
GUY,12/31/2023,Guyana,74129,1300,91661.339,1607.465,808727,3.952,26.3,7435.047,1.6,,5.305,69.91,0.682,South America
HTI,12/3/2023,Haiti,34509,860,2978.765,74.234,11585003,398.448,24.3,1653.173,0.7,,4.8,64,0.51,Caribbean
HND,1/21/2024,Honduras,472755,11114,45314.045,1065.288,10432858,82.805,24.9,4541.795,0.7,,4.652,75.27,0.634,Central America
HUN,1/28/2024,Hungary,2229538,49022,223685.161,4918.281,9967304,108.043,43.4,26777.561,7.02,,18.577,76.88,0.854,Eastern Europe
ISL,1/28/2024,Iceland,209878,186,562821.967,498.789,372903,3.404,37.3,46482.958,2.91,,14.431,82.99,0.949,Western Europe
IND,2/4/2024,India,45026139,533454,31771.799,376.421,1417173120,450.419,28.2,6426.674,0.53,155.72,5.989,69.66,0.645,South Asia
IDN,2/4/2024,Indonesia,6828268,162054,24784.881,588.215,275501344,145.725,29.3,11188.744,1.04,,5.319,71.72,0.718,East Asia
IRN,2/4/2024,Iran,7626527,146799,86126.235,1657.799,88550568,49.831,32.4,19082.62,1.5,,5.44,76.68,0.783,West Asia
IRQ,1/1/2023,Iraq,2465545,25375,55410.332,570.274,44496124,88.125,20,15663.986,1.4,,3.186,70.6,0.674,West Asia
IRL,1/28/2024,Ireland,1732675,9450,344940.821,1881.305,5023108,69.874,38.7,67335.293,2.96,221.89,13.928,82.3,0.955,Western Europe
IMN,8/28/2022,Isle of Man,38008,116,449617.905,1372.229,84534,147.872,,,,,,81.4,,Western Europe
ISR,10/29/2023,Israel,4841558,12707,512388.401,1344.798,9449000,402.606,30.6,33132.32,2.99,,11.733,82.97,0.919,West Asia
ITA,1/28/2024,Italy,26699442,195996,452245.686,3319.858,59037472,205.859,47.9,35220.084,3.18,,23.021,83.51,0.892,Western Europe
JAM,1/28/2024,Jamaica,156704,3591,55423.71,1270.08,2827382,266.879,31.4,8193.571,1.7,,9.684,74.47,0.734,Caribbean
JPN,5/14/2023,Japan,33803572,74694,272715.688,602.606,123951696,347.778,48.2,39002.223,13.05,,27.049,84.63,0.919,East Asia
JEY,2/5/2023,Jersey,66391,161,599218.383,1453.121,110796,,,,,,,,,Western Europe
JOR,9/25/2022,Jordan,1746997,14122,154794.998,1251.299,11285875,109.285,23.2,8337.49,1.4,,3.81,74.53,0.729,West Asia
KAZ,12/31/2023,Kazakhstan,1503205,19072,77492.791,983.194,19397998,6.681,30.6,24055.588,6.7,,6.991,73.6,0.825,Central Asia
KEN,11/5/2023,Kenya,344094,5689,6368.87,105.298,54027484,87.324,20,2993.028,1.4,,2.686,66.7,0.601,East Africa
KIR,8/13/2023,Kiribati,5085,24,38746.695,182.875,131237,143.701,23.2,1981.132,1.9,,3.895,68.37,0.63,Oceania / Aus
KWT,2/4/2024,Kuwait,667026,2570,156252.943,602.031,4268886,232.128,33.7,65530.537,2,,2.345,75.49,0.806,West Asia
KGZ,1/21/2024,Kyrgyzstan,88953,1024,13415.486,154.435,6630621,32.333,26.3,3393.474,4.5,,4.489,71.45,0.697,Central Asia
LAO,2/4/2024,Laos,218917,671,29074.662,89.116,7529477,29.715,24.4,6397.36,1.5,,4.029,67.92,0.613,East Asia
LVA,11/26/2023,Latvia,977701,7465,528300.266,4033.709,1850654,31.212,43.9,25063.846,5.57,,19.754,75.29,0.866,Eastern Europe
LBN,8/20/2023,Lebanon,1239904,10947,225858.255,1994.082,5489744,594.561,31.1,13367.565,2.9,,8.514,78.93,0.744,West Asia
LSO,12/17/2023,Lesotho,36135,709,15671.174,307.482,2305826,73.562,22.2,2851.153,,,4.506,54.33,0.527,Southern Africa
LBR,2/19/2023,Liberia,8090,294,1525.641,55.444,5302690,49.127,19.2,752.788,0.8,,3.057,64.1,0.48,West Africa
LBY,9/3/2023,Libya,507269,6437,74463.21,944.902,6812344,3.623,29,17881.509,3.7,,4.424,72.91,0.724,North Africa
LIE,1/21/2024,Liechtenstein,21571,89,548113.327,2261.466,39355,237.012,,,2.397,,,82.49,0.919,Western Europe
LTU,1/28/2024,Lithuania,1361865,9788,495213.192,3559.198,2750058,45.135,43.5,29524.265,6.56,,19.002,75.93,0.882,Eastern Europe
LUX,1/28/2024,Luxembourg,390788,1000,603439.463,1544.161,647601,231.447,39.7,94277.965,4.51,,14.312,82.25,0.916,Western Europe
MDG,1/7/2024,Madagascar,68475,1426,2312.429,48.157,29611718,43.951,19.6,1416.44,0.2,,2.929,67.04,0.528,East Africa
MWI,12/10/2023,Malawi,89168,2686,4369.841,131.632,20405318,197.519,18.1,1095.042,1.3,,2.979,64.26,0.483,Southern Africa
MYS,1/28/2024,Malaysia,5269967,37340,155281.203,1100.235,33938216,96.254,29.9,26808.164,1.9,214.07,6.293,76.16,0.81,East Asia
MDV,8/6/2023,Maldives,186694,316,356423.66,603.286,523798,1454.433,30.6,15183.616,,,4.12,78.92,0.74,South Asia
MLI,12/17/2023,Mali,33164,743,1467.849,32.885,22593598,15.196,16.4,2014.306,0.1,,2.519,59.31,0.434,West Africa
MLT,1/21/2024,Malta,121283,900,227422.824,1687.628,533293,1454.037,42.4,36513.323,4.485,,19.426,82.53,0.895,Western Europe
MHL,10/8/2023,Marshall Islands,16138,17,387997.98,408.723,41593,295.15,,3819.202,2.7,,,73.7,0.704,Oceania / Aus
MTQ,6/25/2023,Martinique,230354,1104,626793.139,3003.984,367512,,45.7,,,,,82.54,,Caribbean
MRT,1/28/2024,Mauritania,63809,997,13472.769,210.509,4736146,4.289,20.3,3597.633,,,3.138,64.92,0.546,West Africa
MUS,1/21/2024,Mauritius,324332,1066,249586.372,820.329,1299478,622.962,37.4,20292.745,3.4,,10.945,74.99,0.804,East Africa
MYT,4/16/2023,Mayotte,42027,187,128872.507,573.421,326113,,20.1,,,,,79.46,,East Africa
MEX,12/31/2023,Mexico,7702809,334958,60412.236,2627.037,127504120,66.444,29.3,17336.469,1.38,,6.857,75.05,0.779,North America
FSM,9/17/2023,Micronesia (country),26547,65,232505.386,569.287,114178,150.777,23,3299.464,,,4.81,67.88,0.62,Oceania / Aus
MDA,1/28/2024,Moldova,633670,12197,193605.669,3726.559,3272993,123.655,37.6,5189.972,5.8,,10.864,71.9,0.75,Eastern Europe
MCO,11/26/2023,Monaco,17181,67,470828.423,1836.069,36491,19347.5,,,13.8,,,86.75,,Western Europe
MNG,2/4/2024,Mongolia,1011456,2284,297629.483,672.086,3398373,1.98,28.6,11840.846,7,,4.031,69.87,0.737,East Asia
MNE,6/4/2023,Montenegro,251280,2654,400713.144,4232.301,627082,46.28,39.1,16409.288,3.861,,14.762,76.88,0.829,Eastern Europe
MSR,10/2/2022,Montserrat,1403,8,317924.315,1812.826,4413,,,,,,,74.16,,Caribbean
MAR,2/4/2024,Morocco,1278844,16301,34140.766,435.181,37457976,80.08,29.6,7485.013,1.1,,6.769,76.68,0.686,North Africa
MOZ,12/10/2023,Mozambique,233731,2250,7089.306,68.245,32969520,37.728,17.7,1136.103,0.7,,3.158,60.85,0.456,Southern Africa
MMR,2/4/2024,Myanmar,641730,19494,11844.558,359.805,54179312,81.721,29.1,5591.597,0.9,,5.732,67.13,0.583,East Asia
NAM,1/28/2024,Namibia,172264,4103,67106.502,1598.349,2567024,3.078,22,9541.808,,,3.552,63.71,0.646,Southern Africa
NRU,3/19/2023,Nauru,5393,1,424946.813,78.796,12691,682.45,,12895.635,5,,,59.96,,Oceania / Aus
NPL,10/22/2023,Nepal,1003450,12031,32848.749,393.845,30547586,204.43,25,2442.804,0.3,,5.809,70.78,0.602,South Asia
NLD,1/28/2024,Netherlands,8633769,22986,491559.962,1308.698,17564020,508.544,43.2,48472.545,3.32,,18.779,82.28,0.944,Western Europe
NCL,6/4/2023,New Caledonia,80064,314,276121.797,1082.912,289959,15.342,33.4,,,,9.954,77.55,,Oceania / Aus
NZL,2/4/2024,New Zealand,2475546,3768,477417.17,726.671,5185289,18.206,37.9,36085.843,2.61,,15.322,82.29,0.931,Oceania / Aus
NIC,1/28/2024,Nicaragua,16116,245,2319.385,35.26,6948395,51.667,27.3,5321.444,0.9,,5.445,74.48,0.66,Central America
NER,7/2/2023,Niger,9515,315,363.057,12.019,26207982,16.955,15.1,926,0.3,,2.553,62.42,0.394,West Africa
NGA,10/29/2023,Nigeria,267173,3155,1222.529,14.437,218541216,209.588,18.1,5338.454,,,2.751,54.69,0.539,West Africa
NIU,12/31/2023,Niue,993,0,508709.016,0,1952,,,,,,,73.71,,Oceania / Aus
MKD,1/28/2024,North Macedonia,350499,9968,167414.022,4761.163,2093606,82.6,39.1,13111.214,4.28,,13.26,75.8,0.774,Eastern Europe
MNP,12/31/2023,Northern Mariana Islands,14341,41,289284.706,827.046,49574,119.878,,,,,,76.74,,Oceania / Aus
NOR,1/28/2024,Norway,1506086,5732,277143.21,1054.777,5434324,14.462,39.7,64800.057,3.6,,16.821,82.4,0.957,Western Europe
OMN,1/29/2023,Oman,399449,4628,87286.454,1011.297,4576300,14.98,30.7,37960.709,1.6,,2.355,77.86,0.813,West Asia
PAK,4/30/2023,Pakistan,1580631,30656,6702.563,129.995,235824864,255.573,23.5,5034.708,0.6,,4.495,67.27,0.557,South Asia
PLW,12/17/2023,Palau,6265,9,346438.841,497.678,18084,47.237,,13240.405,4.8,,,73.7,0.826,Oceania / Aus
PSE,12/11/2022,Palestine,703228,5708,133946.251,1087.222,5250076,778.202,20.4,4449.898,,,3.043,74.05,0.708,West Asia
PAN,12/31/2023,Panama,1042567,8654,236485.791,1962.989,4408582,55.133,29.7,22267.037,2.3,,7.918,78.51,0.815,Central America
PNG,5/14/2023,Papua New Guinea,46864,670,4620.5,66.058,10142625,18.22,22.6,3823.194,,,3.808,64.5,0.555,Oceania / Aus
PRY,12/31/2023,Paraguay,736275,19956,108583.201,2943.039,6780745,17.144,26.5,8827.01,1.3,,6.378,74.25,0.728,South America
PER,12/31/2023,Peru,4536733,221583,133238.998,6507.656,34049588,25.129,29.1,12236.706,1.6,,7.151,76.74,0.777,South America
PHL,1/21/2024,Philippines,4140383,66864,35829.167,578.613,115559008,351.873,25.2,7599.188,1,,4.803,71.23,0.718,East Asia
PCN,7/24/2022,Pitcairn,4,0,85106.383,0,47,,,,,,,,,Oceania / Aus
POL,1/28/2024,Poland,6653365,120577,166930.3,3025.229,39857144,124.027,41.8,27216.445,6.62,,16.763,78.73,0.88,Eastern Europe
PRT,1/28/2024,Portugal,5641992,28079,549320.471,2733.852,10270857,112.371,46.2,27936.896,3.39,,21.502,82.05,0.864,Western Europe
PRI,6/4/2023,Puerto Rico,1252713,5938,385164.303,1825.722,3252412,376.232,38.2,35044.67,,,15.168,80.1,,Caribbean
QAT,6/25/2023,Qatar,514524,690,190908.716,256.017,2695131,227.322,31.9,116935.6,1.2,,1.307,80.23,0.848,West Asia
REU,2/5/2023,Reunion,494595,921,507765.419,945.525,974062,,36,,,,,80.48,,East Africa
ROU,1/28/2024,Romania,3519108,68676,179005.019,3493.314,19659270,85.129,43,23313.199,6.892,,17.85,76.05,0.828,Eastern Europe
RUS,1/28/2024,Russia,23774451,401884,164286.552,2777.105,144713312,8.823,39.6,24765.954,8.05,,14.178,72.58,0.824,Eastern Europe
RWA,11/19/2023,Rwanda,133208,1468,9669.078,106.557,13776702,494.869,20.3,1854.211,,,2.974,69.02,0.543,Central Africa
BLM,6/25/2023,Saint Barthelemy,5507,5,500909.587,454.794,10994,,,,,,,,,Caribbean
SHN,11/27/2022,Saint Helena,2166,0,401036.845,0,5401,,,,,,,80.56,,Southern Africa
KNA,7/2/2023,Saint Kitts and Nevis,6607,46,138566.725,964.745,47681,212.865,,24654.385,2.3,,,76.23,0.779,Caribbean
LCA,1/28/2024,Saint Lucia,30215,410,167980.564,2279.399,179872,293.187,34.9,12951.839,1.3,,9.721,76.2,0.759,Caribbean
MAF,6/25/2023,Saint Martin (French part),12324,46,387352.276,1445.813,31816,590.533,,,,,,82.08,,Caribbean
SPM,3/26/2023,Saint Pierre and Miquelon,3426,2,582158.029,339.847,5885,,,,,,,81.07,,North America
VCT,9/24/2023,Saint Vincent and the Grenadines,9674,124,93055.916,1192.778,103959,281.787,31.8,10727.146,2.6,,7.724,72.53,0.738,Caribbean
WSM,11/26/2023,Samoa,16962,31,76271.415,139.395,222390,69.413,22,6021.557,,,5.606,73.32,0.715,Oceania / Aus
SMR,11/26/2023,San Marino,25292,126,750727.219,3739.982,33690,556.667,,56861.47,3.8,,,84.97,,Western Europe
STP,12/24/2023,Sao Tome and Principe,6734,80,29613.928,351.814,227393,212.841,18.7,3052.714,2.9,,2.886,70.39,0.625,Central Africa
SAU,5/7/2023,Saudi Arabia,841469,9646,23111.678,264.936,36408824,15.322,31.9,49045.411,2.7,,3.295,75.13,0.854,West Asia
SEN,12/17/2023,Senegal,89050,1971,5142.508,113.822,17316452,82.328,18.7,2470.58,,,3.008,67.94,0.512,West Africa
SRB,11/26/2023,Serbia,2583470,18057,375966.285,2627.793,6871547,80.291,41.2,14048.881,5.609,,17.366,76,0.806,Eastern Europe
SYC,12/3/2023,Seychelles,51220,172,478088.393,1605.451,107135,208.354,36.2,26382.287,3.6,,8.606,73.4,0.796,East Africa
SLE,12/24/2023,Sierra Leone,7779,125,903.933,14.525,8605723,104.7,19.1,1390.3,,,2.538,54.7,0.452,West Africa
SGP,2/4/2024,Singapore,2994295,1954,531183.841,346.637,5637022,7915.731,42.4,85535.383,2.4,,12.922,83.62,0.938,East Asia
SXM,6/4/2023,Sint Maarten (Dutch part),11051,92,250067.886,2081.825,44192,1209.088,,36327.232,,,,78.95,,Western Europe
SVK,1/28/2024,Slovakia,1877065,21218,332609.191,3759.754,5643455,113.128,41.2,30155.152,5.82,,15.07,77.54,0.86,Eastern Europe
SVN,1/28/2024,Slovenia,1355444,9957,639407.73,4697.046,2119843,102.619,44.5,31400.84,4.5,,19.062,81.32,0.917,Eastern Europe
SLB,10/8/2023,Solomon Islands,25954,199,35834.604,274.759,724272,21.841,20.8,2205.923,1.4,,3.507,73,0.567,Oceania / Aus
SOM,3/5/2023,Somalia,27334,1361,1553.288,77.34,17597508,23.5,16.8,,0.9,,2.731,57.4,,East Africa
ZAF,12/3/2023,South Africa,4072636,102595,67997.527,1712.946,59893884,46.754,27.3,12294.876,2.32,,5.344,64.13,0.709,Southern Africa
KOR,9/10/2023,South Korea,34571873,35934,667207.062,693.495,51815808,527.967,43.4,35938.374,12.27,,13.914,83.03,0.916,East Asia
SSD,12/3/2023,South Sudan,18819,147,1724.43,13.47,10913172,,19.2,1569.888,,,3.441,57.85,0.433,East Africa
ESP,7/2/2023,Spain,13980340,121852,293960.095,2562.143,47558632,93.105,45.5,34272.36,2.97,,19.436,83.56,0.904,Western Europe
LKA,2/4/2024,Sri Lanka,672745,16896,30814.418,773.905,21832150,341.955,34.1,11669.077,3.6,,10.069,76.98,0.782,South Asia
SDN,4/16/2023,Sudan,63993,5046,1365.207,107.65,46874200,23.258,19.7,4466.507,0.8,,3.548,65.31,0.51,East Africa
SUR,7/9/2023,Suriname,82506,1404,133494.918,2271.676,618046,3.612,29.6,13767.119,3.1,,6.933,71.68,0.738,South America
SWE,1/28/2024,Sweden,2749793,27053,260659.971,2564.424,10549349,24.718,41,46949.283,2.22,,19.985,82.8,0.945,Western Europe
