locationid,year,month,temperature,latitude,longitude,elevation,station,countryid,country,latabs
IN001020700,2023,1,24.11,14.583,77.633,364.0,PBO_ANANTAPUR,IN,India,14.583
IN001050200,2023,1,25.05,16.95,82.233,8.0,KAKINADA,IN,India,16.95
IN001080500,2023,1,23.65,17.45,78.47,527.0,BEGUMPETOBSY,IN,India,17.45
IN001090500,2023,1,23.59,18.767,79.433,156.0,RAMGUNDAM,IN,India,18.767
IN001111200,2023,1,25.8,16.2,81.15,3.0,MACHILIPATNAM,IN,India,16.2
IN001111600,2023,1,24.81,16.533,80.8,24.0,VIJAYAWADA_GANNAVA,IN,India,16.533
IN001120100,2023,1,25.48,15.8,78.067,281.0,KURNOOL,IN,India,15.8
IN001160200,2023,1,26.14,14.45,79.983,20.0,NELLORE,IN,India,14.45
IN001190700,2023,1,23.04,18.333,84.133,6.0,KALINGAPATAM,IN,India,18.333
IN001200200,2023,1,23.53,17.717,83.233,3.0,VISHAKHAPATNAM,IN,India,17.717
IN003020100,2023,1,18.36,26.617,92.783,79.0,TEZPUR,IN,India,26.617
IN003041800,2023,1,18.55,26.1,91.583,54.0,GAUHATI,IN,India,26.1
IN003050401,2023,1,17.2,27.233,94.117,102.0,NORTH_LAKHIMPUR,IN,India,27.233
IN003050500,2023,1,17.2,27.483,95.017,111.0,DIBRUGARH_MOHANBAR,IN,India,27.483
IN004011500,2023,1,15.22,25.233,86.95,49.0,BHAGALPUR,IN,India,25.233
IN004051800,2023,1,15.26,24.75,84.95,116.0,GAYA,IN,India,24.75
IN004091000,2023,1,18.38,24.05,84.067,221.0,DALTONGANJ,IN,India,24.05
IN004102500,2023,1,15.57,25.6,85.1,60.0,PATNA,IN,India,25.6
IN004122600,2023,1,18.78,23.317,85.317,652.0,MO_RANCHI,IN,India,23.317
IN005010600,2023,1,19.9,23.067,72.633,55.0,AHMADABAD,IN,India,23.067
IN005090100,2023,1,20.75,22.3667,69.0833,10.0,DWARKA,IN,India,22.3667
IN005100100,2023,1,21.85,20.9,70.367,8.0,VERAVAL,IN,India,20.9
IN005120501,2023,1,18.34,23.25,69.667,80.0,BHUJ_RUDRAMATA,IN,India,23.25
