originalid,year,weeksworked
1,2017,
1,2018,
1,2019,
1,2020,
1,2021,
2,2017,52.0
2,2018,52.0
2,2019,52.0
2,2020,52.0
2,2021,46.0
3,2017,52.0
3,2018,52.0
3,2019,9.0
3,2020,0.0
3,2021,0.0
4,2017,31.0
4,2018,48.0
4,2019,52.0
4,2020,52.0
4,2021,51.0
5,2017,52.0
5,2018,52.0
5,2019,52.0
5,2020,52.0
5,2021,43.0
6,2017,37.0
6,2018,52.0
6,2019,52.0
6,2020,52.0
6,2021,40.0
7,2017,52.0
7,2018,12.0
7,2019,0.0
7,2020,
7,2021,
8,2017,52.0
8,2018,52.0
8,2019,52.0
8,2020,51.0
8,2021,52.0
9,2017,52.0
9,2018,52.0
9,2019,52.0
9,2020,52.0
9,2021,52.0
10,2017,52.0
10,2018,52.0
10,2019,52.0
10,2020,52.0
10,2021,42.0
11,2017,12.0
11,2018,52.0
11,2019,52.0
11,2020,52.0
11,2021,52.0
12,2017,52.0
12,2018,52.0
12,2019,52.0
12,2020,52.0
12,2021,44.0
13,2017,
13,2018,
13,2019,
13,2020,
13,2021,
14,2017,0.0
14,2018,0.0
14,2019,0.0
14,2020,0.0
14,2021,0.0
15,2017,31.0
15,2018,31.0
15,2019,0.0
15,2020,0.0
15,2021,
16,2017,52.0
16,2018,15.0
16,2019,18.0
16,2020,52.0
16,2021,46.0
17,2017,
17,2018,51.0
17,2019,52.0
17,2020,13.0
17,2021,
18,2017,0.0
18,2018,0.0
18,2019,0.0
18,2020,0.0
18,2021,0.0
19,2017,35.0
19,2018,52.0
19,2019,52.0
19,2020,52.0
19,2021,52.0
20,2017,52.0
20,2018,14.0
20,2019,
20,2020,
20,2021,
21,2017,52.0
21,2018,52.0
21,2019,52.0
21,2020,52.0
21,2021,39.0
22,2017,52.0
22,2018,52.0
22,2019,52.0
22,2020,52.0
22,2021,52.0
23,2017,52.0
23,2018,52.0
23,2019,52.0
23,2020,52.0
23,2021,45.0
24,2017,
24,2018,0.0
24,2019,0.0
24,2020,0.0
24,2021,0.0
25,2017,7.0
25,2018,52.0
25,2019,45.0
25,2020,0.0
25,2021,4.0
26,2017,0.0
26,2018,0.0
26,2019,0.0
26,2020,0.0
26,2021,0.0
27,2017,52.0
27,2018,52.0
27,2019,52.0
27,2020,52.0
27,2021,40.0
28,2017,52.0
28,2018,52.0
28,2019,52.0
28,2020,52.0
28,2021,52.0
29,2017,
29,2018,
29,2019,
29,2020,
29,2021,
30,2017,
30,2018,
30,2019,
30,2020,
30,2021,
31,2017,52.0
31,2018,52.0
31,2019,52.0
31,2020,52.0
31,2021,41.0
32,2017,52.0
32,2018,52.0
32,2019,52.0
32,2020,52.0
32,2021,40.0
33,2017,52.0
33,2018,52.0
33,2019,52.0
33,2020,52.0
33,2021,44.0
34,2017,0.0
34,2018,0.0
34,2019,0.0
34,2020,0.0
34,2021,0.0
35,2017,52.0
35,2018,52.0
35,2019,52.0
35,2020,52.0
35,2021,42.0
36,2017,0.0
36,2018,0.0
36,2019,
36,2020,
36,2021,
37,2017,52.0
37,2018,52.0
37,2019,52.0
37,2020,52.0
37,2021,47.0
38,2017,52.0
38,2018,52.0
38,2019,52.0
38,2020,52.0
38,2021,47.0
39,2017,51.0
39,2018,
39,2019,
39,2020,
39,2021,
40,2017,
40,2018,
40,2019,
40,2020,
40,2021,
41,2017,52.0
41,2018,41.0
41,2019,22.0
41,2020,52.0
41,2021,40.0
42,2017,
42,2018,
42,2019,
42,2020,
42,2021,
43,2017,0.0
43,2018,0.0
43,2019,0.0
43,2020,0.0
43,2021,0.0
44,2017,0.0
44,2018,0.0
44,2019,0.0
44,2020,0.0
44,2021,0.0
45,2017,52.0
45,2018,52.0
45,2019,52.0
45,2020,52.0
45,2021,42.0
46,2017,0.0
46,2018,0.0
46,2019,0.0
46,2020,0.0
46,2021,0.0
47,2017,0.0
47,2018,42.0
47,2019,11.0
47,2020,52.0
47,2021,39.0
48,2017,51.0
48,2018,52.0
48,2019,52.0
48,2020,52.0
48,2021,52.0
49,2017,52.0
49,2018,52.0
49,2019,52.0
49,2020,52.0
49,2021,52.0
50,2017,52.0
50,2018,52.0
50,2019,52.0
50,2020,52.0
50,2021,46.0
51,2017,52.0
51,2018,52.0
51,2019,
51,2020,
51,2021,
52,2017,52.0
52,2018,52.0
52,2019,52.0
52,2020,52.0
52,2021,44.0
53,2017,
53,2018,
53,2019,
53,2020,
53,2021,
54,2017,52.0
54,2018,34.0
54,2019,52.0
54,2020,52.0
54,2021,43.0
55,2017,52.0
55,2018,52.0
55,2019,51.0
55,2020,52.0
55,2021,50.0
56,2017,18.0
56,2018,52.0
56,2019,52.0
56,2020,52.0
56,2021,49.0
57,2017,52.0
57,2018,52.0
57,2019,52.0
57,2020,52.0
57,2021,39.0
58,2017,52.0
58,2018,52.0
58,2019,52.0
58,2020,52.0
58,2021,52.0
59,2017,52.0
59,2018,52.0
59,2019,52.0
59,2020,52.0
59,2021,43.0
60,2017,0.0
60,2018,0.0
60,2019,0.0
60,2020,0.0
60,2021,0.0
61,2017,52.0
61,2018,39.0
61,2019,36.0
61,2020,21.0
61,2021,0.0
62,2017,52.0
62,2018,52.0
62,2019,52.0
62,2020,52.0
62,2021,44.0
63,2017,52.0
63,2018,52.0
63,2019,52.0
63,2020,52.0
63,2021,39.0
64,2017,40.0
64,2018,52.0
64,2019,52.0
64,2020,52.0
64,2021,42.0
65,2017,52.0
65,2018,52.0
65,2019,52.0
65,2020,52.0
65,2021,52.0
66,2017,
66,2018,
66,2019,
66,2020,
66,2021,
67,2017,52.0
67,2018,52.0
67,2019,52.0
67,2020,52.0
67,2021,43.0
68,2017,0.0
68,2018,0.0
68,2019,0.0
68,2020,0.0
68,2021,51.0
69,2017,52.0
69,2018,52.0
69,2019,52.0
69,2020,52.0
69,2021,52.0
70,2017,52.0
70,2018,52.0
70,2019,52.0
70,2020,10.0
70,2021,
71,2017,52.0
71,2018,52.0
71,2019,52.0
71,2020,52.0
71,2021,52.0
72,2017,0.0
72,2018,0.0
72,2019,0.0
72,2020,0.0
72,2021,0.0
73,2017,52.0
73,2018,52.0
73,2019,52.0
73,2020,10.0
73,2021,
74,2017,51.0
74,2018,52.0
74,2019,52.0
74,2020,52.0
74,2021,44.0
75,2017,52.0
75,2018,52.0
75,2019,52.0
75,2020,52.0
75,2021,52.0
76,2017,52.0
76,2018,52.0
76,2019,52.0
76,2020,52.0
76,2021,52.0
77,2017,
77,2018,
77,2019,
77,2020,
77,2021,
78,2017,52.0
78,2018,52.0
78,2019,52.0
78,2020,52.0
78,2021,52.0
79,2017,22.0
79,2018,
79,2019,52.0
79,2020,52.0
79,2021,49.0
80,2017,0.0
80,2018,0.0
80,2019,0.0
80,2020,0.0
80,2021,0.0
81,2017,0.0
81,2018,0.0
81,2019,0.0
81,2020,0.0
81,2021,0.0
82,2017,52.0
82,2018,52.0
82,2019,52.0
82,2020,15.0
82,2021,13.0
83,2017,52.0
83,2018,52.0
83,2019,52.0
83,2020,52.0
83,2021,52.0
84,2017,0.0
84,2018,0.0
84,2019,8.0
84,2020,14.0
84,2021,
85,2017,52.0
85,2018,52.0
85,2019,52.0
85,2020,52.0
85,2021,43.0
86,2017,52.0
86,2018,16.0
86,2019,0.0
86,2020,4.0
86,2021,50.0
87,2017,
87,2018,
87,2019,
87,2020,
87,2021,
88,2017,51.0
88,2018,52.0
88,2019,52.0
88,2020,
88,2021,
89,2017,52.0
89,2018,52.0
89,2019,52.0
89,2020,52.0
89,2021,49.0
90,2017,52.0
90,2018,52.0
90,2019,52.0
90,2020,52.0
90,2021,41.0
91,2017,52.0
91,2018,52.0
91,2019,52.0
91,2020,52.0
91,2021,43.0
92,2017,0.0
92,2018,0.0
92,2019,0.0
92,2020,0.0
92,2021,0.0
93,2017,0.0
93,2018,0.0
93,2019,12.0
93,2020,14.0
93,2021,
94,2017,52.0
94,2018,8.0
94,2019,0.0
94,2020,44.0
94,2021,50.0
95,2017,
95,2018,
95,2019,
95,2020,
95,2021,
96,2017,
96,2018,
96,2019,
96,2020,
96,2021,
97,2017,52.0
97,2018,52.0
97,2019,49.0
97,2020,
97,2021,
98,2017,
98,2018,
98,2019,
98,2020,
98,2021,
99,2017,
99,2018,
99,2019,
99,2020,
99,2021,
100,2017,52.0
100,2018,52.0
100,2019,52.0
100,2020,52.0
100,2021,42.0
101,2017,0.0
101,2018,0.0
101,2019,
101,2020,
101,2021,
102,2017,52.0
102,2018,52.0
102,2019,52.0
102,2020,51.0
102,2021,52.0
103,2017,
103,2018,
103,2019,
103,2020,
103,2021,
104,2017,50.0
104,2018,52.0
104,2019,52.0
104,2020,42.0
104,2021,44.0
105,2017,52.0
105,2018,52.0
105,2019,52.0
105,2020,52.0
105,2021,52.0
106,2017,
106,2018,
106,2019,
106,2020,
106,2021,
107,2017,52.0
107,2018,52.0
107,2019,52.0
107,2020,52.0
107,2021,42.0
108,2017,52.0
108,2018,52.0
108,2019,52.0
108,2020,52.0
108,2021,52.0
109,2017,0.0
109,2018,0.0
109,2019,0.0
109,2020,0.0
109,2021,0.0
110,2017,0.0
110,2018,0.0
110,2019,17.0
