iso_code,lastdate,location,total_cases,total_deaths,total_cases_pm,total_deaths_pm,population,pop_density,median_age,gdp_per_capita,hosp_beds,vac_per_hund,aged_65_older,life_expectancy,hum_dev_ind,region
AFG,2024-02-04,Afghanistan,231539.0,7982.0,5629.611,194.073,41128772,54.422,18.6,1803.987,0.5,,2.581,64.83,0.511,South Asia
ALB,2024-01-28,Albania,334863.0,3605.0,117813.348,1268.331,2842318,104.871,38.0,11803.431,2.89,,13.188,78.57,0.795,Eastern Europe
DZA,2023-12-03,Algeria,272010.0,6881.0,6057.694,153.241,44903228,17.348,29.1,13913.839,1.9,,6.211,76.88,0.748,North Africa
ASM,2023-09-17,American Samoa,8359.0,34.0,188712.044,767.581,44295,278.205,,,,,,73.74,,Oceania / Aus
AND,2023-05-07,Andorra,48015.0,159.0,601367.684,1991.408,79843,163.755,,,,,,83.73,0.868,Western Europe
AGO,2024-01-28,Angola,107084.0,1937.0,3008.908,54.427,35588996,23.89,16.8,5819.495,,,2.405,61.15,0.581,Central Africa
AIA,2022-12-04,Anguilla,3904.0,12.0,245890.282,755.81,15877,,,,,,,81.88,,Western Europe
ATG,2022-10-09,Antigua and Barbuda,9106.0,146.0,97107.879,1556.968,93772,231.845,32.1,21490.943,3.8,,6.933,77.02,0.778,Caribbean
ARG,2024-01-28,Argentina,10094643.0,130733.0,221809.957,2872.601,45510324,16.177,31.9,18933.907,5.0,,11.198,76.67,0.845,South America
ARM,2023-12-17,Armenia,451426.0,8775.0,162355.888,3155.939,2780472,102.931,35.7,8787.58,4.2,,11.232,75.09,0.776,Central Asia
ABW,2023-07-02,Aruba,44224.0,292.0,415408.749,2742.84,106459,584.8,41.2,35973.781,,,13.085,76.29,,Caribbean
AUS,2024-02-04,Australia,11769858.0,24566.0,449618.889,938.443,26177410,3.202,37.9,44648.71,3.84,,15.504,83.44,0.944,Oceania / Aus
AUT,2023-07-02,Austria,6081287.0,22534.0,680262.588,2520.69,8939617,106.749,44.4,45436.686,7.37,,19.202,81.54,0.922,Western Europe
AZE,2024-01-28,Azerbaijan,834470.0,10353.0,80562.243,999.51,10358078,119.309,32.4,15847.419,4.7,,6.018,73.0,0.756,Central Asia
BHS,2023-04-23,Bahamas,38084.0,844.0,92890.297,2058.592,409989,39.497,34.3,27717.847,2.9,,8.996,73.92,0.814,West Asia
BHR,2022-12-04,Bahrain,696614.0,1536.0,473167.024,1043.31,1472237,1935.907,32.4,43290.705,2.0,,2.372,77.29,0.852,South Asia
BGD,2024-02-04,Bangladesh,2047297.0,29482.0,11959.463,172.222,171186368,1265.036,27.5,3523.984,0.8,211.28,5.098,72.59,0.632,South Asia
BRB,2024-01-28,Barbados,110375.0,593.0,391892.66,2105.48,281646,664.463,39.8,16978.068,5.8,,14.952,79.19,0.814,Caribbean
BLR,2022-07-03,Belarus,994037.0,7118.0,104251.871,746.516,9534956,46.858,40.3,17167.967,11.0,,14.799,74.79,0.823,Eastern Europe
BEL,2024-01-28,Belgium,4855952.0,34339.0,416608.106,2946.056,11655923,375.564,41.8,42658.576,5.64,269.97,18.571,81.63,0.931,Western Europe
BLZ,2024-01-28,Belize,71381.0,688.0,176125.443,1697.571,405285,16.426,25.0,7824.362,1.3,,3.853,74.62,0.716,Central America
BEN,2023-09-24,Benin,28036.0,163.0,2099.624,12.207,13352864,99.11,18.8,2064.236,0.5,,3.244,61.77,0.545,West Africa
BMU,2023-04-09,Bermuda,18860.0,165.0,293737.443,2569.813,64207,1308.82,,50669.315,,,,82.59,,Caribbean
BTN,2023-08-27,Bhutan,62697.0,21.0,80128.365,26.839,782457,21.188,28.6,8708.597,1.7,,4.885,71.78,0.654,South Asia
BOL,2023-12-31,Bolivia,1211716.0,22385.0,99125.057,1831.217,12224114,10.202,25.4,6885.829,1.1,,6.704,71.51,0.718,South America
BES,2023-07-09,Bonaire Sint Eustatius and Saba,11922.0,41.0,440706.787,1515.6,27052,,,,,,,77.79,,Caribbean
BIH,2024-01-28,Bosnia and Herzegovina,403565.0,16382.0,124806.326,5066.29,3233530,68.496,42.5,11713.895,3.5,,16.569,77.4,0.78,Eastern Europe
BWA,2023-12-17,Botswana,330417.0,2800.0,125619.511,1064.517,2630300,4.044,25.8,15807.374,1.8,,3.941,69.59,0.735,Southern Africa
BRA,2023-10-01,Brazil,37519960.0,702116.0,174257.347,3260.901,215313504,25.04,33.5,14103.452,2.2,,8.552,75.88,0.765,South America
VGB,2023-10-15,British Virgin Islands,7392.0,64.0,235924.933,2042.64,31332,207.973,,,,,,79.07,,Caribbean
BRN,2024-02-04,Brunei,342802.0,178.0,763475.441,396.435,449002,81.347,32.4,71809.251,2.7,,4.591,75.86,0.838,East Asia
BGR,2024-01-28,Bulgaria,1327689.0,38681.0,195767.887,5703.518,6781955,65.18,44.7,18563.307,7.454,69.68,20.801,75.05,0.816,Eastern Europe
BFA,2023-12-17,Burkina Faso,22109.0,400.0,975.092,17.642,22673764,70.151,17.6,1703.102,0.4,,2.409,61.58,0.452,West Africa
BDI,2024-01-21,Burundi,54546.0,15.0,4231.789,1.164,12889583,423.062,17.5,702.225,0.8,,2.562,61.58,0.433,Central Africa
KHM,2024-02-04,Cambodia,139085.0,3056.0,8294.742,182.254,16767851,90.672,25.6,3645.07,0.8,,4.412,69.82,0.594,East Asia
CMR,2023-12-10,Cameroon,125137.0,1974.0,4482.861,70.716,27914542,50.885,18.8,3364.926,1.3,,3.165,59.29,0.563,Central Africa
CAN,2024-02-04,Canada,4774222.0,54127.0,124153.047,1407.566,38454328,4.037,41.4,44017.591,2.5,266.11,16.984,82.43,0.929,North America
CPV,2023-10-29,Cape Verde,64474.0,417.0,108695.432,703.012,593162,135.58,25.7,6222.554,2.1,,4.46,72.98,0.665,West Africa
CYM,2022-12-18,Cayman Islands,31472.0,37.0,457961.061,538.401,68722,256.496,,49903.029,,,,83.92,,Caribbean
CAF,2023-12-03,Central African Republic,15440.0,113.0,2767.448,20.254,5579148,7.479,18.3,661.24,1.0,,3.655,53.28,0.397,Central Africa
TCD,2023-04-30,Chad,7698.0,194.0,434.343,10.946,17723312,11.833,16.7,1768.153,,,2.486,54.24,0.398,Central Africa
CHL,2024-01-28,Chile,5345008.0,62288.0,272652.519,3177.354,19603736,24.282,35.4,22767.037,2.11,,11.087,80.18,0.851,South America
CHN,2024-02-04,China,99329249.0,121933.0,69661.357,85.514,1425887360,147.674,38.7,15308.712,4.34,,10.641,76.91,0.761,East Asia
COL,2024-01-28,Colombia,6393550.0,142727.0,123251.466,2751.415,51874028,44.223,32.2,13254.949,1.71,,7.646,77.29,0.767,South America
COM,2023-04-30,Comoros,9109.0,160.0,10885.737,191.208,836783,437.352,20.4,1413.89,2.2,,2.963,64.32,0.554,East Africa
COG,2023-11-05,Congo,25213.0,389.0,4222.979,65.154,5970430,15.405,19.0,4881.406,,,3.402,64.57,0.574,Central Africa
COK,2023-12-24,Cook Islands,7203.0,2.0,422909.817,117.426,17032,,,,,,,76.25,,Oceania / Aus
CRI,2023-08-06,Costa Rica,1230653.0,9368.0,237539.463,1808.202,5180836,96.079,33.6,15524.995,1.13,,9.468,80.28,0.81,Central America
CIV,2023-12-17,Cote d'Ivoire,88384.0,835.0,3138.575,29.651,28160548,76.399,18.7,3601.006,,,2.933,57.78,0.538,West Africa
