iso_code,lastdate,location,total_cases,total_deaths,total_cases_pm,total_deaths_pm,population,pop_density,median_age,gdp_per_capita,hosp_beds,vac_per_hund,aged_65_older,life_expectancy,hum_dev_ind,region
HRV,2023-12-31,Croatia,1309728.0,18687.0,324965.431,4636.557,4030361,73.726,44.0,22669.797,5.54,,19.724,78.49,0.851,Eastern Europe
CUB,2023-08-13,Cuba,1115043.0,8530.0,99449.1,760.779,11212198,110.408,43.1,,5.2,406.39,14.738,78.8,0.783,Caribbean
CUW,2023-07-02,Curacao,45883.0,305.0,240007.742,1595.414,191173,362.644,41.7,,,,16.367,78.88,,Caribbean
CYP,2024-01-07,Cyprus,681110.0,1365.0,760161.472,1523.426,896007,127.657,37.3,32415.132,3.4,,13.416,80.98,0.887,Eastern Europe
CZE,2024-01-28,Czechia,4756085.0,43478.0,453219.891,4143.133,10493990,137.176,43.3,32605.906,6.63,,19.027,79.38,0.9,Western Europe
COD,2023-12-17,Democratic Republic of Congo,99338.0,1468.0,1003.311,14.827,99010216,35.879,17.0,808.133,,,3.02,60.68,0.48,Central Africa
DNK,2024-01-07,Denmark,3433033.0,9436.0,583624.93,1604.146,5882259,136.52,42.3,46682.515,2.5,,19.677,80.9,0.94,Western Europe
DJI,2022-06-12,Djibouti,15690.0,189.0,13998.292,168.622,1120851,41.285,25.4,2705.406,1.4,,4.213,67.11,0.524,East Africa
DMA,2023-11-19,Dominica,16038.0,74.0,220429.369,1017.07,72758,98.567,,9673.367,3.8,,,75.0,0.742,Caribbean
DOM,2023-11-26,Dominican Republic,661180.0,4384.0,58882.406,390.424,11228821,222.873,27.6,14600.861,1.6,,6.981,74.08,0.756,Caribbean
ECU,2023-11-05,Ecuador,1062896.0,36019.0,59046.491,2000.944,18001002,66.939,28.1,10581.936,1.5,,7.104,77.01,0.759,South America
EGY,2023-04-30,Egypt,516023.0,24830.0,4649.271,223.714,110990096,97.999,25.3,10550.206,1.6,,5.159,71.99,0.707,North Africa
SLV,2024-01-28,El Salvador,201853.0,4230.0,31856.136,667.572,6336393,307.811,27.6,7292.458,1.3,,8.273,73.32,0.673,Central America
GNQ,2023-02-19,Equatorial Guinea,17130.0,183.0,10227.379,109.259,1674916,45.194,22.4,22604.873,2.1,,2.846,58.74,0.592,Central Africa
ERI,2022-11-06,Eritrea,10189.0,103.0,2765.713,27.958,3684041,44.304,19.3,1510.459,0.7,,3.607,66.32,0.459,East Africa
EST,2024-01-21,Estonia,609520.0,2986.0,459645.99,2251.777,1326064,31.033,42.7,29481.252,4.69,163.59,19.452,78.74,0.892,Eastern Europe
SWZ,2023-12-24,Eswatini,75191.0,1427.0,62571.566,1187.504,1201680,79.492,21.5,7738.975,2.1,,3.163,60.19,0.611,Southern Africa
ETH,2023-12-03,Ethiopia,501117.0,7574.0,4061.576,61.388,123379928,104.957,19.8,1729.927,0.3,,3.526,66.6,0.485,East Africa
FRO,2022-03-06,Faeroe Islands,34658.0,28.0,652484.139,527.138,53117,35.308,,,,,,80.67,,Western Europe
FLK,2022-10-02,Falkland Islands,1923.0,0.0,505919.495,0.0,3801,,,,,,,81.44,,South America
FJI,2023-10-22,Fiji,69047.0,885.0,74262.532,951.849,929769,49.562,28.6,8702.975,2.3,,6.224,67.44,0.743,Oceania / Aus
FIN,2023-11-12,Finland,1499712.0,11219.0,270669.738,2024.818,5540745,18.136,42.8,40585.721,3.28,,21.228,81.91,0.938,Western Europe
FRA,2023-06-25,France,38997490.0,167985.0,603427.621,2599.316,67813000,122.578,42.0,38605.671,5.98,227.81,19.718,82.66,0.901,Western Europe
GUF,2023-02-05,French Guiana,98041.0,413.0,321901.841,1356.019,304568,,25.3,,,,,79.95,,South America
PYF,2024-01-07,French Polynesia,79254.0,650.0,258753.085,2122.158,306292,77.324,32.7,,,,7.775,77.66,,Oceania / Aus
GAB,2023-12-10,Gabon,49051.0,307.0,20532.048,128.506,2388997,7.859,23.1,16562.413,6.3,,4.45,66.47,0.703,Central Africa
GMB,2023-04-16,Gambia,12626.0,372.0,4665.936,137.473,2705995,207.566,17.5,1561.767,1.1,,2.339,62.05,0.496,West Africa
GEO,2023-08-27,Georgia,1855289.0,17132.0,495485.64,4575.384,3744385,65.032,38.7,9745.079,2.6,,14.864,73.77,0.812,West Asia
DEU,2023-07-02,Germany,38437756.0,174979.0,461051.095,2098.829,83369840,237.016,46.6,45229.245,8.0,,21.453,81.33,0.947,Western Europe
GHA,2023-12-03,Ghana,171834.0,1462.0,5133.07,43.673,33475870,126.719,21.1,4227.63,0.9,,3.385,64.07,0.611,West Africa
GIB,2023-04-09,Gibraltar,20550.0,113.0,628882.7,3458.09,32677,3457.1,,,,,,79.93,,Western Europe
GRC,2024-01-28,Greece,5611832.0,38806.0,540380.08,3736.746,10384972,83.479,45.3,24574.382,4.21,215.99,20.396,82.24,0.888,Eastern Europe
GRL,2022-03-27,Greenland,11971.0,21.0,211898.609,371.721,56494,0.137,,,,,,71.7,,Western Europe
GRD,2023-04-23,Grenada,19693.0,238.0,156967.615,1897.034,125459,317.132,29.4,13593.877,3.7,,7.304,72.4,0.779,Caribbean
GLP,2023-06-25,Guadeloupe,203235.0,1021.0,513528.333,2579.833,395762,,43.4,,,,,82.14,,Caribbean
GUM,2023-12-31,Guam,52287.0,419.0,304378.198,2439.124,171783,304.128,31.4,,,,9.551,80.07,,Oceania / Aus
GTM,2024-01-28,Guatemala,1250319.0,20201.0,70069.773,1132.095,17843914,157.834,22.9,7423.808,0.6,,4.694,74.3,0.663,Central America
GGY,2023-04-16,Guernsey,35326.0,67.0,557817.114,1057.967,63329,,,,,,,,,Western Europe
GIN,2023-11-05,Guinea,38572.0,468.0,2783.103,33.768,13859349,51.755,19.0,1998.926,0.3,,3.135,61.6,0.477,West Africa
GNB,2023-04-16,Guinea-Bissau,9614.0,177.0,4565.963,84.062,2105580,66.191,19.4,1548.675,,38.47,3.002,58.32,0.48,West Africa
GUY,2023-12-31,Guyana,74129.0,1300.0,91661.339,1607.465,808727,3.952,26.3,7435.047,1.6,,5.305,69.91,0.682,South America
HTI,2023-12-03,Haiti,34509.0,860.0,2978.765,74.234,11585003,398.448,24.3,1653.173,0.7,,4.8,64.0,0.51,Caribbean
HND,2024-01-21,Honduras,472755.0,11114.0,45314.045,1065.288,10432858,82.805,24.9,4541.795,0.7,,4.652,75.27,0.634,Central America
HUN,2024-01-28,Hungary,2229538.0,49022.0,223685.161,4918.281,9967304,108.043,43.4,26777.561,7.02,,18.577,76.88,0.854,Eastern Europe
ISL,2024-01-28,Iceland,209878.0,186.0,562821.967,498.789,372903,3.404,37.3,46482.958,2.91,,14.431,82.99,0.949,Western Europe
IND,2024-02-04,India,45026139.0,533454.0,31771.799,376.421,1417173120,450.419,28.2,6426.674,0.53,155.72,5.989,69.66,0.645,South Asia
IDN,2024-02-04,Indonesia,6828268.0,162054.0,24784.881,588.215,275501344,145.725,29.3,11188.744,1.04,,5.319,71.72,0.718,East Asia
IRN,2024-02-04,Iran,7626527.0,146799.0,86126.235,1657.799,88550568,49.831,32.4,19082.62,1.5,,5.44,76.68,0.783,West Asia
IRQ,2023-01-01,Iraq,2465545.0,25375.0,55410.332,570.274,44496124,88.125,20.0,15663.986,1.4,,3.186,70.6,0.674,West Asia
IRL,2024-01-28,Ireland,1732675.0,9450.0,344940.821,1881.305,5023108,69.874,38.7,67335.293,2.96,221.89,13.928,82.3,0.955,Western Europe
IMN,2022-08-28,Isle of Man,38008.0,116.0,449617.905,1372.229,84534,147.872,,,,,,81.4,,Western Europe
ISR,2023-10-29,Israel,4841558.0,12707.0,512388.401,1344.798,9449000,402.606,30.6,33132.32,2.99,,11.733,82.97,0.919,West Asia
ITA,2024-01-28,Italy,26699442.0,195996.0,452245.686,3319.858,59037472,205.859,47.9,35220.084,3.18,,23.021,83.51,0.892,Western Europe
JAM,2024-01-28,Jamaica,156704.0,3591.0,55423.71,1270.08,2827382,266.879,31.4,8193.571,1.7,,9.684,74.47,0.734,Caribbean
JPN,2023-05-14,Japan,33803572.0,74694.0,272715.688,602.606,123951696,347.778,48.2,39002.223,13.05,,27.049,84.63,0.919,East Asia
JEY,2023-02-05,Jersey,66391.0,161.0,599218.383,1453.121,110796,,,,,,,,,Western Europe
JOR,2022-09-25,Jordan,1746997.0,14122.0,154794.998,1251.299,11285875,109.285,23.2,8337.49,1.4,,3.81,74.53,0.729,West Asia
KAZ,2023-12-31,Kazakhstan,1503205.0,19072.0,77492.791,983.194,19397998,6.681,30.6,24055.588,6.7,,6.991,73.6,0.825,Central Asia
KEN,2023-11-05,Kenya,344094.0,5689.0,6368.87,105.298,54027484,87.324,20.0,2993.028,1.4,,2.686,66.7,0.601,East Africa
KIR,2023-08-13,Kiribati,5085.0,24.0,38746.695,182.875,131237,143.701,23.2,1981.132,1.9,,3.895,68.37,0.63,Oceania / Aus
KWT,2024-02-04,Kuwait,667026.0,2570.0,156252.943,602.031,4268886,232.128,33.7,65530.537,2.0,,2.345,75.49,0.806,West Asia
KGZ,2024-01-21,Kyrgyzstan,88953.0,1024.0,13415.486,154.435,6630621,32.333,26.3,3393.474,4.5,,4.489,71.45,0.697,Central Asia
LAO,2024-02-04,Laos,218917.0,671.0,29074.662,89.116,7529477,29.715,24.4,6397.36,1.5,,4.029,67.92,0.613,East Asia
LVA,2023-11-26,Latvia,977701.0,7465.0,528300.266,4033.709,1850654,31.212,43.9,25063.846,5.57,,19.754,75.29,0.866,Eastern Europe
LBN,2023-08-20,Lebanon,1239904.0,10947.0,225858.255,1994.082,5489744,594.561,31.1,13367.565,2.9,,8.514,78.93,0.744,West Asia
LSO,2023-12-17,Lesotho,36135.0,709.0,15671.174,307.482,2305826,73.562,22.2,2851.153,,,4.506,54.33,0.527,Southern Africa
LBR,2023-02-19,Liberia,8090.0,294.0,1525.641,55.444,5302690,49.127,19.2,752.788,0.8,,3.057,64.1,0.48,West Africa
LBY,2023-09-03,Libya,507269.0,6437.0,74463.21,944.902,6812344,3.623,29.0,17881.509,3.7,,4.424,72.91,0.724,North Africa
LIE,2024-01-21,Liechtenstein,21571.0,89.0,548113.327,2261.466,39355,237.012,,,2.397,,,82.49,0.919,Western Europe
LTU,2024-01-28,Lithuania,1361865.0,9788.0,495213.192,3559.198,2750058,45.135,43.5,29524.265,6.56,,19.002,75.93,0.882,Eastern Europe
LUX,2024-01-28,Luxembourg,390788.0,1000.0,603439.463,1544.161,647601,231.447,39.7,94277.965,4.51,,14.312,82.25,0.916,Western Europe
MDG,2024-01-07,Madagascar,68475.0,1426.0,2312.429,48.157,29611718,43.951,19.6,1416.44,0.2,,2.929,67.04,0.528,East Africa
MWI,2023-12-10,Malawi,89168.0,2686.0,4369.841,131.632,20405318,197.519,18.1,1095.042,1.3,,2.979,64.26,0.483,Southern Africa
MYS,2024-01-28,Malaysia,5269967.0,37340.0,155281.203,1100.235,33938216,96.254,29.9,26808.164,1.9,214.07,6.293,76.16,0.81,East Asia
MDV,2023-08-06,Maldives,186694.0,316.0,356423.66,603.286,523798,1454.433,30.6,15183.616,,,4.12,78.92,0.74,South Asia
MLI,2023-12-17,Mali,33164.0,743.0,1467.849,32.885,22593598,15.196,16.4,2014.306,0.1,,2.519,59.31,0.434,West Africa
MLT,2024-01-21,Malta,121283.0,900.0,227422.824,1687.628,533293,1454.037,42.4,36513.323,4.485,,19.426,82.53,0.895,Western Europe
MHL,2023-10-08,Marshall Islands,16138.0,17.0,387997.98,408.723,41593,295.15,,3819.202,2.7,,,73.7,0.704,Oceania / Aus
MTQ,2023-06-25,Martinique,230354.0,1104.0,626793.139,3003.984,367512,,45.7,,,,,82.54,,Caribbean
MRT,2024-01-28,Mauritania,63809.0,997.0,13472.769,210.509,4736146,4.289,20.3,3597.633,,,3.138,64.92,0.546,West Africa
MUS,2024-01-21,Mauritius,324332.0,1066.0,249586.372,820.329,1299478,622.962,37.4,20292.745,3.4,,10.945,74.99,0.804,East Africa
MYT,2023-04-16,Mayotte,42027.0,187.0,128872.507,573.421,326113,,20.1,,,,,79.46,,East Africa
MEX,2023-12-31,Mexico,7702809.0,334958.0,60412.236,2627.037,127504120,66.444,29.3,17336.469,1.38,,6.857,75.05,0.779,North America
FSM,2023-09-17,Micronesia (country),26547.0,65.0,232505.386,569.287,114178,150.777,23.0,3299.464,,,4.81,67.88,0.62,Oceania / Aus
MDA,2024-01-28,Moldova,633670.0,12197.0,193605.669,3726.559,3272993,123.655,37.6,5189.972,5.8,,10.864,71.9,0.75,Eastern Europe
MCO,2023-11-26,Monaco,17181.0,67.0,470828.423,1836.069,36491,19347.5,,,13.8,,,86.75,,Western Europe
MNG,2024-02-04,Mongolia,1011456.0,2284.0,297629.483,672.086,3398373,1.98,28.6,11840.846,7.0,,4.031,69.87,0.737,East Asia
MNE,2023-06-04,Montenegro,251280.0,2654.0,400713.144,4232.301,627082,46.28,39.1,16409.288,3.861,,14.762,76.88,0.829,Eastern Europe
MSR,2022-10-02,Montserrat,1403.0,8.0,317924.315,1812.826,4413,,,,,,,74.16,,Caribbean
MAR,2024-02-04,Morocco,1278844.0,16301.0,34140.766,435.181,37457976,80.08,29.6,7485.013,1.1,,6.769,76.68,0.686,North Africa
MOZ,2023-12-10,Mozambique,233731.0,2250.0,7089.306,68.245,32969520,37.728,17.7,1136.103,0.7,,3.158,60.85,0.456,Southern Africa
MMR,2024-02-04,Myanmar,641730.0,19494.0,11844.558,359.805,54179312,81.721,29.1,5591.597,0.9,,5.732,67.13,0.583,East Asia
NAM,2024-01-28,Namibia,172264.0,4103.0,67106.502,1598.349,2567024,3.078,22.0,9541.808,,,3.552,63.71,0.646,Southern Africa
NRU,2023-03-19,Nauru,5393.0,1.0,424946.813,78.796,12691,682.45,,12895.635,5.0,,,59.96,,Oceania / Aus
NPL,2023-10-22,Nepal,1003450.0,12031.0,32848.749,393.845,30547586,204.43,25.0,2442.804,0.3,,5.809,70.78,0.602,South Asia
NLD,2024-01-28,Netherlands,8633769.0,22986.0,491559.962,1308.698,17564020,508.544,43.2,48472.545,3.32,,18.779,82.28,0.944,Western Europe
NCL,2023-06-04,New Caledonia,80064.0,314.0,276121.797,1082.912,289959,15.342,33.4,,,,9.954,77.55,,Oceania / Aus
NZL,2024-02-04,New Zealand,2475546.0,3768.0,477417.17,726.671,5185289,18.206,37.9,36085.843,2.61,,15.322,82.29,0.931,Oceania / Aus
NIC,2024-01-28,Nicaragua,16116.0,245.0,2319.385,35.26,6948395,51.667,27.3,5321.444,0.9,,5.445,74.48,0.66,Central America
NER,2023-07-02,Niger,9515.0,315.0,363.057,12.019,26207982,16.955,15.1,926.0,0.3,,2.553,62.42,0.394,West Africa
NGA,2023-10-29,Nigeria,267173.0,3155.0,1222.529,14.437,218541216,209.588,18.1,5338.454,,,2.751,54.69,0.539,West Africa
NIU,2023-12-31,Niue,993.0,0.0,508709.016,0.0,1952,,,,,,,73.71,,Oceania / Aus
MKD,2024-01-28,North Macedonia,350499.0,9968.0,167414.022,4761.163,2093606,82.6,39.1,13111.214,4.28,,13.26,75.8,0.774,Eastern Europe
MNP,2023-12-31,Northern Mariana Islands,14341.0,41.0,289284.706,827.046,49574,119.878,,,,,,76.74,,Oceania / Aus
NOR,2024-01-28,Norway,1506086.0,5732.0,277143.21,1054.777,5434324,14.462,39.7,64800.057,3.6,,16.821,82.4,0.957,Western Europe
OMN,2023-01-29,Oman,399449.0,4628.0,87286.454,1011.297,4576300,14.98,30.7,37960.709,1.6,,2.355,77.86,0.813,West Asia
PAK,2023-04-30,Pakistan,1580631.0,30656.0,6702.563,129.995,235824864,255.573,23.5,5034.708,0.6,,4.495,67.27,0.557,South Asia
PLW,2023-12-17,Palau,6265.0,9.0,346438.841,497.678,18084,47.237,,13240.405,4.8,,,73.7,0.826,Oceania / Aus
PSE,2022-12-11,Palestine,703228.0,5708.0,133946.251,1087.222,5250076,778.202,20.4,4449.898,,,3.043,74.05,0.708,West Asia
PAN,2023-12-31,Panama,1042567.0,8654.0,236485.791,1962.989,4408582,55.133,29.7,22267.037,2.3,,7.918,78.51,0.815,Central America
PNG,2023-05-14,Papua New Guinea,46864.0,670.0,4620.5,66.058,10142625,18.22,22.6,3823.194,,,3.808,64.5,0.555,Oceania / Aus
PRY,2023-12-31,Paraguay,736275.0,19956.0,108583.201,2943.039,6780745,17.144,26.5,8827.01,1.3,,6.378,74.25,0.728,South America
PER,2023-12-31,Peru,4536733.0,221583.0,133238.998,6507.656,34049588,25.129,29.1,12236.706,1.6,,7.151,76.74,0.777,South America
PHL,2024-01-21,Philippines,4140383.0,66864.0,35829.167,578.613,115559008,351.873,25.2,7599.188,1.0,,4.803,71.23,0.718,East Asia
PCN,2022-07-24,Pitcairn,4.0,0.0,85106.383,0.0,47,,,,,,,,,Oceania / Aus
POL,2024-01-28,Poland,6653365.0,120577.0,166930.3,3025.229,39857144,124.027,41.8,27216.445,6.62,,16.763,78.73,0.88,Eastern Europe
PRT,2024-01-28,Portugal,5641992.0,28079.0,549320.471,2733.852,10270857,112.371,46.2,27936.896,3.39,,21.502,82.05,0.864,Western Europe
PRI,2023-06-04,Puerto Rico,1252713.0,5938.0,385164.303,1825.722,3252412,376.232,38.2,35044.67,,,15.168,80.1,,Caribbean
QAT,2023-06-25,Qatar,514524.0,690.0,190908.716,256.017,2695131,227.322,31.9,116935.6,1.2,,1.307,80.23,0.848,West Asia
REU,2023-02-05,Reunion,494595.0,921.0,507765.419,945.525,974062,,36.0,,,,,80.48,,East Africa
ROU,2024-01-28,Romania,3519108.0,68676.0,179005.019,3493.314,19659270,85.129,43.0,23313.199,6.892,,17.85,76.05,0.828,Eastern Europe
RUS,2024-01-28,Russia,23774451.0,401884.0,164286.552,2777.105,144713312,8.823,39.6,24765.954,8.05,,14.178,72.58,0.824,Eastern Europe
RWA,2023-11-19,Rwanda,133208.0,1468.0,9669.078,106.557,13776702,494.869,20.3,1854.211,,,2.974,69.02,0.543,Central Africa
BLM,2023-06-25,Saint Barthelemy,5507.0,5.0,500909.587,454.794,10994,,,,,,,,,Caribbean
SHN,2022-11-27,Saint Helena,2166.0,0.0,401036.845,0.0,5401,,,,,,,80.56,,Southern Africa
KNA,2023-07-02,Saint Kitts and Nevis,6607.0,46.0,138566.725,964.745,47681,212.865,,24654.385,2.3,,,76.23,0.779,Caribbean
LCA,2024-01-28,Saint Lucia,30215.0,410.0,167980.564,2279.399,179872,293.187,34.9,12951.839,1.3,,9.721,76.2,0.759,Caribbean
MAF,2023-06-25,Saint Martin (French part),12324.0,46.0,387352.276,1445.813,31816,590.533,,,,,,82.08,,Caribbean
SPM,2023-03-26,Saint Pierre and Miquelon,3426.0,2.0,582158.029,339.847,5885,,,,,,,81.07,,North America
VCT,2023-09-24,Saint Vincent and the Grenadines,9674.0,124.0,93055.916,1192.778,103959,281.787,31.8,10727.146,2.6,,7.724,72.53,0.738,Caribbean
WSM,2023-11-26,Samoa,16962.0,31.0,76271.415,139.395,222390,69.413,22.0,6021.557,,,5.606,73.32,0.715,Oceania / Aus
SMR,2023-11-26,San Marino,25292.0,126.0,750727.219,3739.982,33690,556.667,,56861.47,3.8,,,84.97,,Western Europe
STP,2023-12-24,Sao Tome and Principe,6734.0,80.0,29613.928,351.814,227393,212.841,18.7,3052.714,2.9,,2.886,70.39,0.625,Central Africa
SAU,2023-05-07,Saudi Arabia,841469.0,9646.0,23111.678,264.936,36408824,15.322,31.9,49045.411,2.7,,3.295,75.13,0.854,West Asia
SEN,2023-12-17,Senegal,89050.0,1971.0,5142.508,113.822,17316452,82.328,18.7,2470.58,,,3.008,67.94,0.512,West Africa
SRB,2023-11-26,Serbia,2583470.0,18057.0,375966.285,2627.793,6871547,80.291,41.2,14048.881,5.609,,17.366,76.0,0.806,Eastern Europe
SYC,2023-12-03,Seychelles,51220.0,172.0,478088.393,1605.451,107135,208.354,36.2,26382.287,3.6,,8.606,73.4,0.796,East Africa
SLE,2023-12-24,Sierra Leone,7779.0,125.0,903.933,14.525,8605723,104.7,19.1,1390.3,,,2.538,54.7,0.452,West Africa
SGP,2024-02-04,Singapore,2994295.0,1954.0,531183.841,346.637,5637022,7915.731,42.4,85535.383,2.4,,12.922,83.62,0.938,East Asia
SXM,2023-06-04,Sint Maarten (Dutch part),11051.0,92.0,250067.886,2081.825,44192,1209.088,,36327.232,,,,78.95,,Western Europe
SVK,2024-01-28,Slovakia,1877065.0,21218.0,332609.191,3759.754,5643455,113.128,41.2,30155.152,5.82,,15.07,77.54,0.86,Eastern Europe
